Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,204185,171099,45.85038733529145,54.716633867272655,54.716633867272655,% At Least 1 Dose
Queens,Queens,Borough,Borough,1124566,884294,48.61003816391415,61.81789786862771,61.81789786862771,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,925020,778138,56.233867548452956,66.84862088687348,66.84862088687348,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1029008,813555,40.98844685596993,51.84337841002503,51.84337841002503,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,520933,413604,38.590582526716766,48.60472318302082,48.60472318302082,% At Least 1 Dose
85+,85+,Age,Age,95389,83707,46.779890241312636,53.30840849903319,53.30840849903319,% At Least 1 Dose
75-84,75-84,Age,Age,257160,229995,60.101979613521436,67.20070035180406,67.20070035180406,% At Least 1 Dose
65-74,65-74,Age,Age,531332,472333,65.71178152324366,73.91982415014006,73.91982415014006,% At Least 1 Dose
55-64,55-64,Age,Age,681002,566742,56.735223454990624,68.17352630173082,68.17352630173082,% At Least 1 Dose
45-54,45-54,Age,Age,621949,493611,48.01257092055439,60.49575570939035,60.49575570939035,% At Least 1 Dose
35-44,35-44,Age,Age,625777,486218,42.76677227492862,55.04210550388511,55.04210550388511,% At Least 1 Dose
25-34,25-34,Age,Age,712330,544841,36.72180138963496,48.010411815334514,48.010411815334514,% At Least 1 Dose
18-24,18-24,Age,Age,278773,183243,26.004056592605263,39.560741029618306,39.560741029618306,% At Least 1 Dose
Male,Male,Sex,Sex,1736050,1380555,44.413603434998315,55.85017347612289,55.85017347612289,% At Least 1 Dose
Female,Female,Sex,Sex,2024232,1644059,46.64937983610211,57.436605039352386,57.436605039352386,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,726621,564492,55.470586833959736,71.40241717487345,71.40241717487345,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,460999,363155,24.99612452890095,31.730771741264224,31.730771741264224,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,735434,553504,30.34577411018179,40.32005918104916,40.32005918104916,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9726,7397,49.2446048934727,64.7496319040037,64.7496319040037,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1115500,958359,43.041024379750354,50.09841061190171,50.09841061190171,% At Least 1 Dose
