Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,216780,185263,38.90910923819105,45.52833917541579,45.52833917541579,% At Least 1 Dose
Queens,Queens,Borough,Borough,1205875,990985,43.687862762045945,53.16135108824266,53.16135108824266,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,981733,843901,52.37001584514227,60.923464678557146,60.923464678557146,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1100335,907654,35.456577846479455,42.98346460733492,42.98346460733492,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,564635,459961,32.36835571600106,39.73446994354796,39.73446994354796,% At Least 1 Dose
85+,85+,Age,Age,97393,87016,48.62913411349182,54.428349484178874,54.428349484178874,% At Least 1 Dose
75-84,75-84,Age,Age,262199,237942,62.17867881128076,68.51748495700214,68.51748495700214,% At Least 1 Dose
65-74,65-74,Age,Age,543523,491251,68.34368630833538,75.61585709416443,75.61585709416443,% At Least 1 Dose
55-64,55-64,Age,Age,706628,610815,61.14726897717144,70.73888555913118,70.73888555913118,% At Least 1 Dose
45-54,45-54,Age,Age,652814,545167,53.02732161772301,63.497933540643935,63.497933540643935,% At Least 1 Dose
35-44,35-44,Age,Age,660994,542410,47.70930930085689,58.13972307297173,58.13972307297173,% At Least 1 Dose
25-34,25-34,Age,Age,750407,613952,41.37982164846104,50.57676792934416,50.57676792934416,% At Least 1 Dose
18-24,18-24,Age,Age,303898,225052,31.9371814709375,43.126235601794086,43.126235601794086,% At Least 1 Dose
<18,<18,Age,Age,91502,34159,2.0044924296814033,5.369450695298685,5.369450695298685,% At Least 1 Dose
Male,Male,Sex,Sex,1867112,1542406,38.76910010444658,46.93073810281694,46.93073810281694,% At Least 1 Dose
Female,Female,Sex,Sex,2158036,1806188,41.44177192838611,49.514688241338476,49.514688241338476,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,768729,633323,51.33766522216331,62.31378309104261,62.31378309104261,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,491460,404185,22.136837239463524,26.916807970871616,26.916807970871616,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,806250,636364,26.257081437041744,33.26676541824318,33.26676541824318,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10653,8315,44.07866836301951,56.47264631043257,56.47264631043257,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1155434,1020443,38.04817791061516,43.081444427541484,43.081444427541484,% At Least 1 Dose
