Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,163729,111096,29.77103683482392,43.87540586455756,43.87540586455756,% At Least 1 Dose
Queens,Queens,Borough,Borough,769372,492046,27.047989512991492,42.29272423226546,42.29272423226546,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,704019,457087,33.03240532671546,50.87749370625043,50.87749370625043,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,728108,445532,22.44674878113219,36.683464625509714,36.683464625509714,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,380385,251930,23.505878705127984,35.49114306057281,35.49114306057281,% At Least 1 Dose
85+,85+,Age,Age,82434,66907,37.391163419731974,46.0684706434631,46.0684706434631,% At Least 1 Dose
75-84,75-84,Age,Age,227350,184851,48.305011124324665,59.41079182214439,59.41079182214439,% At Least 1 Dose
65-74,65-74,Age,Age,463428,367802,51.16924853400475,64.47290256610012,64.47290256610012,% At Least 1 Dose
55-64,55-64,Age,Age,529363,328972,32.932621775755415,52.993298703473904,52.993298703473904,% At Least 1 Dose
45-54,45-54,Age,Age,439502,256011,24.901686335884023,42.749494935739875,42.749494935739875,% At Least 1 Dose
35-44,35-44,Age,Age,419696,238317,20.96189130851627,36.91562890863448,36.91562890863448,% At Least 1 Dose
25-34,25-34,Age,Age,450784,248402,16.742075043522977,30.38244280005581,30.38244280005581,% At Least 1 Dose
18-24,18-24,Age,Age,133056,66429,9.426954783485181,18.882007792852583,18.882007792852583,% At Least 1 Dose
Male,Male,Sex,Sex,1226818,769153,24.744292203381438,39.467756184228634,39.467756184228634,% At Least 1 Dose
Female,Female,Sex,Sex,1488185,967181,27.443293603977153,42.2265303930027,42.2265303930027,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,328634,211079,14.528663984898687,22.620028330687543,22.620028330687543,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,478237,288397,15.811322440405304,26.219272079571255,26.219272079571255,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,488487,283133,27.933254811121955,48.19301120999859,48.19301120999859,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7163,3974,26.456409334414023,47.68677907961943,47.68677907961943,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,871211,585299,26.286463140058686,39.127105699332596,39.127105699332596,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,3847,2308,57.17761467900293,95.30428235274016,95.30428235274016,% At Least 1 Dose
