Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,144201,0.1096178756476684,0.1096178756476684
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,2207,0.0016777043956311,0.0016777043956311
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,3813,0.0028985441144275,0.0028985441144275
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,168183,0.1278483726191345,0.1278483726191345
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,257021,0.1953807256318568,0.1953807256318568
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,270173,0.205378536330244,0.205378536330244
18 to 64 years,18 to 64 years,White,White,NYC,NYC,469890,0.3571982412610377,0.3571982412610377
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,35154,0.1112556373130786,0.1112556373130786
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,539,0.0017058311575283,0.0017058311575283
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,780,0.0024685497270354,0.0024685497270354
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,25127,0.0795221140913047,0.0795221140913047
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,35992,0.1139077458659704,0.1139077458659704
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,42330,0.133966294801804,0.133966294801804
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,176053,0.5571738270432788,0.5571738270432788
65+ years,65+ years,Other,Other,NYC,NYC,67785,0.110677880588388,0.110677880588388
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,802,0.0013094882382811,0.0013094882382811
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,1706,0.0027855198684634,0.0027855198684634
65+ years,65+ years,Black,Black,NYC,NYC,96449,0.1574798392692991,0.1574798392692991
65+ years,65+ years,Latino,Latino,NYC,NYC,104341,0.1703657260230581,0.1703657260230581
65+ years,65+ years,Asian,Asian,NYC,NYC,99015,0.1616695485204579,0.1616695485204579
65+ years,65+ years,White,White,NYC,NYC,242355,0.3957119974920525,0.3957119974920525
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,15734,0.1209526152332339,0.1209526152332339
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,127,0.000976292241936,0.000976292241936
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,310,0.0023830755511823,0.0023830755511823
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,7128,0.0547953629962178,0.0547953629962178
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,8144,0.0626057009317057,0.0626057009317057
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,11309,0.0869361335752283,0.0869361335752283
65+ years,65+ years,White,White,Non- NYC,Non- NYC,87332,0.671350819470496,0.671350819470496
%all%,All,Other,Other,NYC,NYC,211986,0.1099546096068293,0.1099546096068293
%all%,All,NH/PI,NH/PI,NYC,NYC,3009,0.001560732408305,0.001560732408305
%all%,All,AI/AN,AI/AN,NYC,NYC,5519,0.0028626394687389,0.0028626394687389
%all%,All,Black,Black,NYC,NYC,264632,0.1372614618393405,0.1372614618393405
%all%,All,Latino,Latino,NYC,NYC,361362,0.187434159032875,0.187434159032875
%all%,All,Asian,Asian,NYC,NYC,369188,0.191493411883455,0.191493411883455
%all%,All,White,White,NYC,NYC,712245,0.3694329857604564,0.3694329857604564
%all%,All,Other,Other,Non- NYC,Non- NYC,50888,0.1140835629367416,0.1140835629367416
%all%,All,NH/PI,NH/PI,Non- NYC,Non- NYC,666,0.0014930760280591,0.0014930760280591
%all%,All,AI/AN,AI/AN,Non- NYC,Non- NYC,1090,0.0024436229288054,0.0024436229288054
%all%,All,Black,Black,Non- NYC,Non- NYC,32255,0.0723110619895574,0.0723110619895574
%all%,All,Latino,Latino,Non- NYC,Non- NYC,44136,0.0989465519135361,0.0989465519135361
%all%,All,Asian,Asian,Non- NYC,Non- NYC,53639,0.1202509085121027,0.1202509085121027
%all%,All,White,White,Non- NYC,Non- NYC,263385,0.5904712156911978,0.5904712156911978
