Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,22.18464261006457,36.94930395240177,36.94930395240177,% At Least 1 Dose
Queens,Queens,Borough,Borough,18.688798255930006,34.08975899105599,34.08975899105599,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,24.941801336781154,41.1975890843902,41.1975890843902,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,15.735123939642634,29.205279171752295,29.205279171752295,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,17.565356372429246,28.684486992234397,28.684486992234397,% At Least 1 Dose
85+,85+,Age,Age,30.67207636164482,42.23977019973398,42.23977019973398,% At Least 1 Dose
75-84,75-84,Age,Age,39.824437440559315,54.92473480340345,54.92473480340345,% At Least 1 Dose
65-74,65-74,Age,Age,40.837095416634725,59.00402757392572,59.00402757392572,% At Least 1 Dose
55-64,55-64,Age,Age,21.71926087279805,44.409466077037834,44.409466077037834,% At Least 1 Dose
45-54,45-54,Age,Age,16.726308182089646,33.01627196920105,33.01627196920105,% At Least 1 Dose
35-44,35-44,Age,Age,14.348767620190236,26.868272310991408,26.868272310991408,% At Least 1 Dose
25-34,25-34,Age,Age,11.710798484059099,21.98734379412536,21.98734379412536,% At Least 1 Dose
18-24,18-24,Age,Age,5.939510838760011,12.854796430884427,12.854796430884427,% At Least 1 Dose
Male,Male,Sex,Sex,17.580877308890305,31.357489352437746,31.357489352437746,% At Least 1 Dose
Female,Female,Sex,Sex,20.08765409685965,34.40929424539132,34.40929424539132,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,10.249130335122652,18.21474143638974,18.21474143638974,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,10.308003936510033,19.811617664919336,19.811617664919336,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,18.164661163884645,36.42324447241576,36.42324447241576,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,18.194606620773406,36.742054131009304,36.742054131009304,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,19.812562834101698,31.987756581151,31.987756581151,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,40.92609161599343,74.54395258627375,74.54395258627375,% At Least 1 Dose
