Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,181924,127731,26.82618457060169,38.20784932257746,38.20784932257746,% At Least 1 Dose
Queens,Queens,Borough,Borough,917546,595354,26.246354734769046,40.45028302735582,40.45028302735582,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,815547,539237,33.46346340896264,50.61044993720619,50.61044993720619,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,862538,537694,21.004467747164586,33.69416731766366,33.69416731766366,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,431956,303981,21.39173786235294,30.397589060074566,30.397589060074566,% At Least 1 Dose
85+,85+,Age,Age,86487,72542,40.54029887447049,48.33350098916943,48.33350098916943,% At Least 1 Dose
75-84,75-84,Age,Age,237742,200673,52.43959457807426,62.12641508414449,62.12641508414449,% At Least 1 Dose
65-74,65-74,Age,Age,487954,404607,56.289623606174146,67.88500198248447,67.88500198248447,% At Least 1 Dose
55-64,55-64,Age,Age,587923,412502,41.29461579630686,58.85560410085798,58.85560410085798,% At Least 1 Dose
45-54,45-54,Age,Age,512585,318630,30.992513279518175,49.858134574214056,49.858134574214056,% At Least 1 Dose
35-44,35-44,Age,Age,505504,293970,25.85701896198982,44.46313063700957,44.46313063700957,% At Least 1 Dose
25-34,25-34,Age,Age,572851,309995,20.893388753379224,38.609650609726096,38.609650609726096,% At Least 1 Dose
18-24,18-24,Age,Age,195328,87953,12.481430611207035,27.71904174304285,27.71904174304285,% At Least 1 Dose
<18,<18,Age,Age,23137,3125,0.1833788706564708,1.3577078177212047,1.3577078177212047,% At Least 1 Dose
Male,Male,Sex,Sex,1446493,927238,23.306563150458985,36.35828174772482,36.35828174772482,% At Least 1 Dose
Female,Female,Sex,Sex,1725163,1150220,26.391026242820942,39.582707661268024,39.582707661268024,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,599664,353340,28.642020942866726,48.60923995778353,48.60923995778353,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,378608,251555,13.777433828007588,20.73600869294706,20.73600869294706,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,569318,356684,14.71717575992639,23.49068943179333,23.49068943179333,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,8417,4946,26.219253604749788,44.619380831212894,44.619380831212894,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,991760,684220,25.511786831798645,36.97870525314171,36.97870525314171,% At Least 1 Dose
