Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,152606,98171,20.617965611171435,32.05045543040641,32.05045543040641,% At Least 1 Dose
Queens,Queens,Borough,Borough,705303,431404,19.018571166059697,31.093488468200114,31.093488468200114,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,649497,414552,25.725878756673374,40.30587495615288,40.30587495615288,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,666517,395452,15.447929081506823,26.036806863079924,26.036806863079924,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,349443,225244,15.8508610836461,24.590987771716648,24.590987771716648,% At Least 1 Dose
85+,85+,Age,Age,79391,62211,34.76679073198538,44.3678816126256,44.3678816126256,% At Least 1 Dose
75-84,75-84,Age,Age,220038,172344,45.036698947858596,57.500029958042695,57.500029958042695,% At Least 1 Dose
65-74,65-74,Age,Age,447193,339723,47.262849630283945,62.21426136798382,62.21426136798382,% At Least 1 Dose
55-64,55-64,Age,Age,496201,282860,28.316456706011994,49.673528013787234,49.673528013787234,% At Least 1 Dose
45-54,45-54,Age,Age,399814,223805,21.769072072694236,38.8891212514116,38.8891212514116,% At Least 1 Dose
35-44,35-44,Age,Age,374904,208944,18.378300404782806,32.97581330382635,32.97581330382635,% At Least 1 Dose
25-34,25-34,Age,Age,394537,218349,14.71652943083469,26.59144476069607,26.59144476069607,% At Least 1 Dose
18-24,18-24,Age,Age,106296,54883,7.788459247949198,15.084489991800885,15.084489991800885,% At Least 1 Dose
<18,<18,Age,Age,4992,1704,0.0999928305915604,0.2929367431414727,0.2929367431414727,% At Least 1 Dose
Male,Male,Sex,Sex,1122658,681669,17.1340708601354,28.2185367439298,28.2185367439298,% At Least 1 Dose
Female,Female,Sex,Sex,1371709,863425,19.810707372248505,31.472942755745574,31.472942755745574,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,302443,187019,10.242857017670694,16.56452234797201,16.56452234797201,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,428355,245946,10.148003581463861,17.674400373000385,17.674400373000385,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,437159,244897,19.93304563412931,35.581939739442845,35.581939739442845,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,6454,3408,18.06615776081425,34.21331636980492,34.21331636980492,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,809789,529993,19.761287945902573,30.19374520875653,30.19374520875653,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,3516,2005,39.75019825535069,69.70658207771223,69.70658207771223,% At Least 1 Dose
