Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,183958,131514,35.242566233663084,49.296287841691324,49.296287841691324,% At Least 1 Dose
Queens,Queens,Borough,Borough,945671,621655,34.1726544280387,51.983959407738666,51.983959407738666,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,829103,560112,40.477735337818075,59.91696625280476,59.91696625280476,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,886727,562036,28.31644168758341,44.67499126089036,44.67499126089036,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,443557,316607,29.54045067754716,41.38529369590939,41.38529369590939,% At Least 1 Dose
85+,85+,Age,Age,88121,73977,41.342252623813835,49.246666443125555,49.246666443125555,% At Least 1 Dose
75-84,75-84,Age,Age,241309,204510,53.442274183183414,63.058538657619714,63.058538657619714,% At Least 1 Dose
65-74,65-74,Age,Age,495499,413332,57.50346065289816,68.9346753942361,68.9346753942361,% At Least 1 Dose
55-64,55-64,Age,Age,604022,433341,43.38075961761982,60.467237546767926,60.467237546767926,% At Least 1 Dose
45-54,45-54,Age,Age,530508,337694,32.846831056126575,51.60146952543899,51.60146952543899,% At Least 1 Dose
35-44,35-44,Age,Age,524359,310143,27.279564009689455,46.12157909273062,46.12157909273062,% At Least 1 Dose
25-34,25-34,Age,Age,595667,326442,22.001902003034306,40.14742882484924,40.14742882484924,% At Least 1 Dose
18-24,18-24,Age,Age,209531,92485,13.124567781400096,29.734592764281164,29.734592764281164,% At Least 1 Dose
Male,Male,Sex,Sex,1484409,968243,31.14918321306509,47.75467305637401,47.75467305637401,% At Least 1 Dose
Female,Female,Sex,Sex,1765628,1196557,33.951726786293456,50.09884147786503,50.09884147786503,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,614355,366755,36.03968714222505,60.37044346842353,60.37044346842353,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,388558,261236,17.98099320519329,26.744624622270642,26.744624622270642,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,592002,374390,20.525875818622737,32.4564212088365,32.4564212088365,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,8539,5141,34.22556627786172,56.847327455098466,56.847327455098466,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1006674,706353,31.72313996499203,45.21090757895612,45.21090757895612,% At Least 1 Dose
