Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,207526,177055,47.4464510584517,55.611940935620275,55.611940935620275,% At Least 1 Dose
Queens,Queens,Borough,Borough,1147285,926872,50.950569938350185,63.06677149781209,63.06677149781209,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,937750,805354,58.20069212095641,67.7685825567724,67.7685825567724,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1048808,854470,43.04982230460219,52.84094003492833,52.84094003492833,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,533159,431432,40.25399222605794,49.74544827748713,49.74544827748713,% At Least 1 Dose
85+,85+,Age,Age,96228,84892,47.442130793906266,53.77728598732522,53.77728598732522,% At Least 1 Dose
75-84,75-84,Age,Age,259237,233120,60.91860035002551,67.74345915811412,67.74345915811412,% At Least 1 Dose
65-74,65-74,Age,Age,536139,480310,66.82155552000214,74.58858228006584,74.58858228006584,% At Least 1 Dose
55-64,55-64,Age,Age,691724,586701,58.73327252306421,69.24688078381334,69.24688078381334,% At Least 1 Dose
45-54,45-54,Age,Age,634817,517463,50.33260803803569,61.74740075499447,61.74740075499447,% At Least 1 Dose
35-44,35-44,Age,Age,640042,512240,45.05561585566441,56.296826650576214,56.296826650576214,% At Least 1 Dose
25-34,25-34,Age,Age,727706,577454,38.91988873754043,49.04674061248272,49.04674061248272,% At Least 1 Dose
18-24,18-24,Age,Age,288635,203003,28.80820277155824,40.96025973492368,40.96025973492368,% At Least 1 Dose
Male,Male,Sex,Sex,1771721,1447742,46.57506514712658,56.99773923636411,56.99773923636411,% At Least 1 Dose
Female,Female,Sex,Sex,2059092,1709975,48.5197144903186,58.42574069755354,58.42574069755354,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,737682,594747,58.443636238843155,72.48934163256358,72.48934163256358,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,471280,380832,26.212840513253035,32.43841766733334,32.43841766733334,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,759520,589089,32.29671641901934,41.64057053276087,41.64057053276087,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9903,7733,51.481482985159445,65.92798732730297,65.92798732730297,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1126168,984701,44.224074431152154,50.57752297802253,50.57752297802253,% At Least 1 Dose
