Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,23.952478805781187,38.08659314667512,38.08659314667512,% At Least 1 Dose
Queens,Queens,Borough,Borough,20.049536748681888,35.56555063341318,35.56555063341318,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,26.540279905241032,42.91769337872909,42.91769337872909,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,16.796065995057464,30.628215180446432,30.628215180446432,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,19.032922625566854,30.275400094291065,30.275400094291065,% At Least 1 Dose
85+,85+,Age,Age,32.10218064357487,42.99533916775643,42.99533916775643,% At Least 1 Dose
75-84,75-84,Age,Age,41.658371625770705,55.87175353911249,55.87175353911249,% At Least 1 Dose
65-74,65-74,Age,Age,43.08516336368499,60.214247455811375,60.214247455811375,% At Least 1 Dose
55-64,55-64,Age,Age,23.837939688205097,46.34134397250775,46.34134397250775,% At Least 1 Dose
45-54,45-54,Age,Age,18.235324442386684,34.99519009577983,34.99519009577983,% At Least 1 Dose
35-44,35-44,Age,Age,15.488087845433132,28.83888377755065,28.83888377755065,% At Least 1 Dose
25-34,25-34,Age,Age,12.485618713768764,23.384864450269227,23.384864450269227,% At Least 1 Dose
18-24,18-24,Age,Age,6.421154165246165,13.38412159523132,13.38412159523132,% At Least 1 Dose
Male,Male,Sex,Sex,18.93469027523471,32.91568361660986,32.91568361660986,% At Least 1 Dose
Female,Female,Sex,Sex,21.4480135593134,35.87393005735423,35.87393005735423,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,10.987405814455146,19.093568708449897,19.093568708449897,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,11.363272660986784,21.06677779470792,21.06677779470792,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,19.759561784005218,38.38702628878963,38.38702628878963,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,19.75908980989955,38.819155216146996,38.819155216146996,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,20.993367326982128,33.394823550645285,33.394823550645285,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,44.196215159159976,78.75547533126097,78.75547533126097,% At Least 1 Dose
