Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,175471,120860,32.387552313826056,47.02197742892083,47.02197742892083,% At Least 1 Dose
Queens,Queens,Borough,Borough,858172,558936,30.724962841753445,47.17410009702942,47.17410009702942,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,778883,512438,37.0324680439641,56.287706624971,56.287706624971,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,812126,509100,25.649425416074262,40.91645112051606,40.91645112051606,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,415772,290155,27.072394060597826,38.79286389468691,38.79286389468691,% At Least 1 Dose
85+,85+,Age,Age,85230,70926,39.63719277068034,47.63102303591188,47.63102303591188,% At Least 1 Dose
75-84,75-84,Age,Age,234546,195920,51.19754710268102,61.291240724507055,61.291240724507055,% At Least 1 Dose
65-74,65-74,Age,Age,480082,393430,54.73466009084641,66.78983576680407,66.78983576680407,% At Least 1 Dose
55-64,55-64,Age,Age,569032,385658,38.60732539180928,56.96447002876128,56.96447002876128,% At Least 1 Dose
45-54,45-54,Age,Age,488543,298198,29.005132834088943,47.51961653050763,47.51961653050763,% At Least 1 Dose
35-44,35-44,Age,Age,477280,276077,24.283186120928203,41.98060349756268,41.98060349756268,% At Least 1 Dose
25-34,25-34,Age,Age,531810,289969,19.543654069996677,35.843523517910306,35.843523517910306,% At Least 1 Dose
18-24,18-24,Age,Age,173901,81311,11.538862852067073,24.67833120779865,24.67833120779865,% At Least 1 Dose
Male,Male,Sex,Sex,1366268,875837,28.17640528026672,43.95397875342039,43.95397875342039,% At Least 1 Dose
Female,Female,Sex,Sex,1639466,1090643,30.946468206181116,46.51905568010332,46.51905568010332,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,560677,329670,32.39547834433704,55.09570058442643,55.09570058442643,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,360954,239256,16.468099765352882,24.844628693546593,24.844628693546593,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,537205,334496,18.338693228521144,29.452183870144044,29.452183870144044,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7886,4557,30.33765911850143,52.50006140190965,52.50006140190965,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,950619,651861,29.27584046605546,42.693411920641324,42.693411920641324,% At Least 1 Dose
