Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,207739,174316,36.610010017998796,43.62953986512455,43.62953986512455,% At Least 1 Dose
Queens,Queens,Borough,Borough,1145761,903240,39.81959884477604,50.51120786500757,50.51120786500757,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,938812,793164,49.22142674057316,58.25991356285832,58.25991356285832,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1045505,833254,32.55021772271195,40.84158657526271,40.84158657526271,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,530631,422003,29.697176972003277,37.34154191754814,37.34154191754814,% At Least 1 Dose
85+,85+,Age,Age,95659,84040,46.96598821938325,53.45929875152288,53.45929875152288,% At Least 1 Dose
75-84,75-84,Age,Age,257820,230968,60.35624264603935,67.3731706513537,67.3731706513537,% At Least 1 Dose
65-74,65-74,Age,Age,532813,474802,66.05527306116477,74.1258634242029,74.1258634242029,% At Least 1 Dose
55-64,55-64,Age,Age,684097,572581,57.319752164268735,68.48335955318068,68.48335955318068,% At Least 1 Dose
45-54,45-54,Age,Age,625227,500235,48.656874369581566,60.81460032078997,60.81460032078997,% At Least 1 Dose
35-44,35-44,Age,Age,629476,493657,43.421091981219206,55.36746221763277,55.36746221763277,% At Least 1 Dose
25-34,25-34,Age,Age,716237,554720,37.38763724987346,48.273740158886675,48.273740158886675,% At Least 1 Dose
18-24,18-24,Age,Age,281375,189061,26.829690320801035,39.92999145257558,39.92999145257558,% At Least 1 Dose
<18,<18,Age,Age,45744,25913,1.5206069361027608,2.684314578979072,2.684314578979072,% At Least 1 Dose
Male,Male,Sex,Sex,1767442,1412424,35.50194141226296,44.42548578441946,44.42548578441946,% At Least 1 Dose
Female,Female,Sex,Sex,2057299,1676834,38.473831179126094,47.20334535856557,47.20334535856557,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,736995,576874,46.76186446311004,59.74139985506329,59.74139985506329,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,467086,370061,20.267897437245598,25.58186661759358,25.58186661759358,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,748152,566402,23.370372051378325,30.869577775118728,30.869577775118728,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10033,7626,40.42620865139949,53.18596268023749,53.18596268023749,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1124850,971013,36.20513382670091,41.94109119544694,41.94109119544694,% At Least 1 Dose
