Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,19.66057877385799,34.88642642706805,34.88642642706805,% At Least 1 Dose
Queens,Queens,Borough,Borough,15.360117691572839,31.88297031886062,31.88297031886062,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,21.691727795511387,38.575084053835454,38.575084053835454,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,12.964975918326562,27.193328367262986,27.193328367262986,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,16.075957167213677,26.96071011342981,26.96071011342981,% At Least 1 Dose
85+,85+,Age,Age,27.795102214174744,41.147213001151236,41.147213001151236,% At Least 1 Dose
75-84,75-84,Age,Age,35.85631395773872,53.56169679968977,53.56169679968977,% At Least 1 Dose
65-74,65-74,Age,Age,36.08942744454255,57.3559916248721,57.3559916248721,% At Least 1 Dose
55-64,55-64,Age,Age,17.66840383889868,41.29451568863273,41.29451568863273,% At Least 1 Dose
45-54,45-54,Age,Age,13.791537097541356,30.117976396939174,30.117976396939174,% At Least 1 Dose
35-44,35-44,Age,Age,12.003015200904912,24.638976309387058,24.638976309387058,% At Least 1 Dose
25-34,25-34,Age,Age,9.912387889996555,20.018885232112442,20.018885232112442,% At Least 1 Dose
18-24,18-24,Age,Age,4.88313107377388,11.71099996315361,11.71099996315361,% At Least 1 Dose
Male,Male,Sex,Sex,14.928939086974324,29.192263652926226,29.192263652926226,% At Least 1 Dose
Female,Female,Sex,Sex,17.330502292286916,32.304330711150016,32.304330711150016,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,8.286636351649964,16.923000254156577,16.923000254156577,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,8.594014631994414,18.129755722859212,18.129755722859212,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,14.533169333746205,33.34837947010858,33.34837947010858,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,15.884497401085016,33.77952213457895,33.77952213457895,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,17.043744266074487,29.82716999422373,29.82716999422373,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,36.640247881388795,69.61399360831813,69.61399360831813,% At Least 1 Dose
