Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,173763,118536,24.89504203569096,36.493868438683336,36.493868438683336,% At Least 1 Dose
Queens,Queens,Borough,Borough,841380,545154,24.033273093114826,37.09248270229138,37.09248270229138,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,767173,501518,31.122733124648576,47.60850166780858,47.60850166780858,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,795727,496387,19.390851918771247,31.084263739316476,31.084263739316476,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,408959,277981,19.562066980221566,28.779245164829366,28.779245164829366,% At Least 1 Dose
85+,85+,Age,Age,84619,69993,39.11578312041042,47.28956398305558,47.28956398305558,% At Least 1 Dose
75-84,75-84,Age,Age,232876,193120,50.46585492277337,60.85483860291927,60.85483860291927,% At Least 1 Dose
65-74,65-74,Age,Age,476193,386961,53.83468165471371,66.24879138001785,66.24879138001785,% At Least 1 Dose
55-64,55-64,Age,Age,559736,371672,37.20721946134798,56.033869089996216,56.033869089996216,% At Least 1 Dose
45-54,45-54,Age,Age,476974,288113,28.024184723666384,46.39432265946365,46.39432265946365,% At Least 1 Dose
35-44,35-44,Age,Age,464249,267912,23.56500889255576,40.834422546806856,40.834422546806856,% At Least 1 Dose
25-34,25-34,Age,Age,513080,281391,18.965504458788473,34.58113808798146,34.58113808798146,% At Least 1 Dose
18-24,18-24,Age,Age,163648,77787,11.03877119545623,23.223325601887474,23.223325601887474,% At Least 1 Dose
<18,<18,Age,Age,15627,2627,0.1541556138286556,0.917011715759574,0.917011715759574,% At Least 1 Dose
Male,Male,Sex,Sex,1340941,852111,21.41821067805758,33.705182593400636,33.705182593400636,% At Least 1 Dose
Female,Female,Sex,Sex,1612376,1062776,24.384682327068102,36.994885612573825,36.994885612573825,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,547099,320115,25.948776063071776,44.3482793225263,44.3482793225263,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,354664,233199,12.772092748136757,19.42461804049406,19.42461804049406,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,525101,323567,13.35073176568644,21.666247178771986,21.666247178771986,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7818,4431,23.489185750636132,41.4440203562341,41.4440203562341,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,937278,640073,23.86572437635534,34.947292593222315,34.947292593222315,% At Least 1 Dose
