Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,208736,176222,37.01030992789981,43.83893074139492,43.83893074139492,% At Least 1 Dose
Queens,Queens,Borough,Borough,1152157,915652,40.366785484939626,50.79317739050598,50.79317739050598,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,942906,801669,49.74922204448076,58.51397517064172,58.51397517064172,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1051730,844712,32.997812807364205,41.08475985174729,41.08475985174729,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,534480,427479,30.08253380856294,37.61240358006059,37.61240358006059,% At Least 1 Dose
85+,85+,Age,Age,95937,84449,47.19455900926578,53.614659826308554,53.614659826308554,% At Least 1 Dose
75-84,75-84,Age,Age,258400,231837,60.5833285404464,67.52473546004887,67.52473546004887,% At Least 1 Dose
65-74,65-74,Age,Age,534133,477033,66.36565362864229,74.30950410061273,74.30950410061273,% At Least 1 Dose
55-64,55-64,Age,Age,687246,578338,57.89607204426771,68.79859861903385,68.79859861903385,% At Least 1 Dose
45-54,45-54,Age,Age,629024,507047,49.31946420876832,61.18392704119399,61.18392704119399,% At Least 1 Dose
35-44,35-44,Age,Age,633623,501105,44.07620330968435,55.732224124070065,55.732224124070065,% At Least 1 Dose
25-34,25-34,Age,Age,720778,563940,38.009057093116596,48.57979954155122,48.57979954155122,% At Least 1 Dose
18-24,18-24,Age,Age,284314,194895,27.657594612704457,40.34706562362531,40.34706562362531,% At Least 1 Dose
<18,<18,Age,Age,46554,27090,1.589674753946814,2.731846382253229,2.731846382253229,% At Least 1 Dose
Male,Male,Sex,Sex,1777960,1431986,35.993641481014755,44.6898606603591,44.6898606603591,% At Least 1 Dose
Female,Female,Sex,Sex,2068268,1696717,38.930033275060794,47.45502170470587,47.45502170470587,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,740121,585312,47.44585544266488,59.99479589702684,59.99479589702684,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,470637,375746,20.579259609781317,25.77635159115107,25.77635159115107,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,755432,577002,23.807739757962363,31.169958615112293,31.169958615112293,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10087,7728,40.966921119592875,53.47222222222222,53.47222222222222,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1128553,978971,36.50185534844458,42.079161036489516,42.079161036489516,% At Least 1 Dose
