Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,156397,101182,21.250338658764278,32.84664481048761,32.84664481048761,% At Least 1 Dose
Queens,Queens,Borough,Borough,722276,447385,19.723098212180734,31.84174812365424,31.84174812365424,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,666067,425384,26.39808084155606,41.334160457122785,41.334160457122785,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,683778,408814,15.969901984380227,26.711090224590016,26.711090224590016,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,357637,231939,16.322001335794926,25.167615587416048,25.167615587416048,% At Least 1 Dose
85+,85+,Age,Age,80248,63592,35.53856643083079,44.846818451083614,44.846818451083614,% At Least 1 Dose
75-84,75-84,Age,Age,222016,176007,45.99390911035922,58.01691821942032,58.01691821942032,% At Least 1 Dose
65-74,65-74,Age,Age,451522,347579,48.35578989837151,62.816519313573316,62.816519313573316,% At Least 1 Dose
55-64,55-64,Age,Age,505304,293750,29.4066292773493,50.58480817144412,50.58480817144412,% At Least 1 Dose
45-54,45-54,Age,Age,410686,232159,22.58164921840272,39.946619303619244,39.946619303619244,% At Least 1 Dose
35-44,35-44,Age,Age,387637,216351,19.0298054544527,34.09578276480201,34.09578276480201,% At Least 1 Dose
25-34,25-34,Age,Age,409856,225771,15.216765664733883,27.623931808271085,27.623931808271085,% At Least 1 Dose
18-24,18-24,Age,Age,112964,57703,8.188646101423256,16.03074741696578,16.03074741696578,% At Least 1 Dose
<18,<18,Age,Age,5922,1792,0.1051567795892466,0.3475102950488384,0.3475102950488384,% At Least 1 Dose
Male,Male,Sex,Sex,1152157,704492,17.707737697325985,28.960007980414275,28.960007980414275,% At Least 1 Dose
Female,Female,Sex,Sex,1404762,890159,20.424101066998706,32.23132166621832,32.23132166621832,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,309965,193718,10.609755028896162,16.976495305195176,16.976495305195176,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,442456,257412,10.621103404453724,18.256223206070334,18.256223206070334,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,451720,254326,20.700505779758714,36.76711178107078,36.76711178107078,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,6732,3572,18.935538592027143,35.68702290076336,35.68702290076336,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,828577,544135,20.28858572932793,30.894273475974433,30.894273475974433,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,3620,2089,41.41554321966463,71.7684377478152,71.7684377478152,% At Least 1 Dose
