Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,187764,137038,36.72286442149673,50.316203645980764,50.316203645980764,% At Least 1 Dose
Queens,Queens,Borough,Borough,977538,651198,35.79664640070448,53.73570270371201,53.73570270371201,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,845463,584161,42.215689634707246,61.099257919697635,61.099257919697635,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,912896,592141,29.83318879453865,45.993435208470885,45.993435208470885,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,455368,328560,30.655703994589174,42.48729795656222,42.48729795656222,% At Least 1 Dose
85+,85+,Age,Age,89198,75088,41.963138070169556,49.84855089472332,49.84855089472332,% At Least 1 Dose
75-84,75-84,Age,Age,243855,207796,54.300967220032184,63.72385590406431,63.72385590406431,% At Least 1 Dose
65-74,65-74,Age,Age,501379,421320,58.61476498862671,69.75271113460713,69.75271113460713,% At Least 1 Dose
55-64,55-64,Age,Age,617654,453439,45.39272365239826,61.8319053605852,61.8319053605852,% At Least 1 Dose
45-54,45-54,Age,Age,546772,359267,34.94519432693926,53.18343681030886,53.18343681030886,% At Least 1 Dose
35-44,35-44,Age,Age,542277,330381,29.059658406235872,47.697610884277154,47.697610884277154,% At Least 1 Dose
25-34,25-34,Age,Age,616027,347692,23.43413320356757,41.519674812748406,41.519674812748406,% At Least 1 Dose
18-24,18-24,Age,Age,221867,98115,13.923522386030928,31.48519738288258,31.48519738288258,% At Least 1 Dose
Male,Male,Sex,Sex,1528293,1016525,32.70245533988987,49.166457862587066,49.166457862587066,% At Least 1 Dose
Female,Female,Sex,Sex,1810929,1248844,35.435345150044554,51.38423546673967,51.38423546673967,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,635474,389196,38.24488303364759,62.445731202078555,62.445731202078555,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,400210,272870,18.78176673927442,27.546637104573662,27.546637104573662,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,616074,394890,21.649785256059012,33.77616501263972,33.77616501263972,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,8760,5361,35.6901888378947,58.31860739040433,58.31860739040433,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1026652,737361,33.11574553760866,46.108142941757166,46.108142941757166,% At Least 1 Dose
