Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,213851,182684,38.36746523628406,44.91318784482813,44.91318784482813,% At Least 1 Dose
Queens,Queens,Borough,Borough,1187960,969853,42.75625237855118,52.371563088038776,52.371563088038776,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,969578,830810,51.557626859433334,60.1691611019555,60.1691611019555,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1083006,889494,34.74717596680717,42.30652489517407,42.30652489517407,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,553858,448536,31.564356107218337,38.9760713629045,38.9760713629045,% At Least 1 Dose
85+,85+,Age,Age,96818,85943,48.02948507304206,54.107009131654536,54.107009131654536,% At Least 1 Dose
75-84,75-84,Age,Age,260773,235733,61.60142594506076,68.1448445825206,68.1448445825206,% At Least 1 Dose
65-74,65-74,Age,Age,540037,486582,67.69412697639791,75.13087876237303,75.13087876237303,% At Least 1 Dose
55-64,55-64,Age,Age,699745,600717,60.13638168374958,70.04984443805544,70.04984443805544,% At Least 1 Dose
45-54,45-54,Age,Age,644509,533924,51.93373712536001,62.69012252854087,62.69012252854087,% At Least 1 Dose
35-44,35-44,Age,Age,651023,530215,46.63666125431654,57.26269366156921,57.26269366156921,% At Least 1 Dose
25-34,25-34,Age,Age,739376,599851,40.42942672334483,49.833288288257926,49.833288288257926,% At Least 1 Dose
18-24,18-24,Age,Age,296197,216071,30.662685679784836,42.03338490725376,42.03338490725376,% At Least 1 Dose
<18,<18,Age,Age,79775,32341,1.897809937888295,4.681295810118386,4.681295810118386,% At Least 1 Dose
Male,Male,Sex,Sex,1837174,1509686,37.94666751833275,46.17823239489897,46.17823239489897,% At Least 1 Dose
Female,Female,Sex,Sex,2126968,1772936,40.678827096418075,48.801853824173094,48.801853824173094,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,758973,620926,50.332754559264345,61.52295398502968,61.52295398502968,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,483872,395391,21.65519802305559,26.50122025491717,26.50122025491717,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,788553,618141,25.505180331656756,32.53656765376982,32.53656765376982,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10422,8124,43.06615776081425,55.24809160305344,55.24809160305344,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1146369,1007999,37.5841916557046,42.74344736865655,42.74344736865655,% At Least 1 Dose
