RESIDENCY_STATE (group)-value,RESIDENCY_STATE (group)-alias,Measure Names-value,Measure Names-alias,Measure Values-alias
%all%,All,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[pcto:sum:N_FULLY_VACCINATED_CUMULATIVE (copy)_905223531003547648:qk],% Fully Vaccinated,100%
Non-NYC,Non-NYC,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[pcto:sum:N_FULLY_VACCINATED_CUMULATIVE (copy)_905223531003547648:qk],% Fully Vaccinated,16%
NYC,NYC,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[pcto:sum:N_FULLY_VACCINATED_CUMULATIVE (copy)_905223531003547648:qk],% Fully Vaccinated,84%
%all%,All,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[sum:N_FULLY_VACCINATED_CUMULATIVE:qk],Fully Vaccinated (count),"2,475,463"
Non-NYC,Non-NYC,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[sum:N_FULLY_VACCINATED_CUMULATIVE:qk],Fully Vaccinated (count),"406,688"
NYC,NYC,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[sum:N_FULLY_VACCINATED_CUMULATIVE:qk],Fully Vaccinated (count),"2,068,775"
%all%,All,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[pcto:sum:N At least 1 dose (copy)_99923633591590919:qk],% At Least 1 Dose,100%
Non-NYC,Non-NYC,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[pcto:sum:N At least 1 dose (copy)_99923633591590919:qk],% At Least 1 Dose,17%
NYC,NYC,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[pcto:sum:N At least 1 dose (copy)_99923633591590919:qk],% At Least 1 Dose,83%
%all%,All,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[sum:Calculation_99923633591324678:qk],At Least 1 Dose (count),"3,767,896"
Non-NYC,Non-NYC,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[sum:Calculation_99923633591324678:qk],At Least 1 Dose (count),"628,709"
NYC,NYC,[federated.04ghtom09lio1s11qfawz0n6jtw7 (copy 3)].[sum:Calculation_99923633591324678:qk],At Least 1 Dose (count),"3,139,187"
