Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,25.196422358989697,38.94974312187646,38.94974312187646,% At Least 1 Dose
Queens,Queens,Borough,Borough,21.227058735158337,36.66380523253614,36.66380523253614,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,27.571027218498557,43.96188239431193,43.96188239431193,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,17.55350748338051,31.617614937509618,31.617614937509618,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,19.790171510458762,31.000925886420134,31.000925886420134,% At Least 1 Dose
85+,85+,Age,Age,33.120410421486774,43.42677351931954,43.42677351931954,% At Least 1 Dose
75-84,75-84,Age,Age,43.014615344956674,56.41686421314369,56.41686421314369,% At Least 1 Dose
65-74,65-74,Age,Age,44.81096835676369,60.92919399828871,60.92919399828871,% At Least 1 Dose
55-64,55-64,Age,Age,25.17697993744365,47.47436262837512,47.47436262837512,% At Least 1 Dose
45-54,45-54,Age,Age,19.266171053617057,36.3100593626804,36.3100593626804,% At Least 1 Dose
35-44,35-44,Age,Age,16.278742481788292,30.194140940411963,30.194140940411963,% At Least 1 Dose
25-34,25-34,Age,Age,13.050760295720359,24.33768574353693,24.33768574353693,% At Least 1 Dose
18-24,18-24,Age,Age,6.805872803461828,13.765150567422047,13.765150567422047,% At Least 1 Dose
Male,Male,Sex,Sex,19.87787473764822,33.936560639113715,33.936560639113715,% At Least 1 Dose
Female,Female,Sex,Sex,22.411385156193642,36.81525465462396,36.81525465462396,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,11.485807151938511,19.689227481351576,19.689227481351576,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,12.066456194867643,21.918755973135223,21.918755973135223,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,21.409710724506063,40.13070274307709,40.13070274307709,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,20.85089935465141,40.170602396541064,40.170602396541064,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,21.815556123998785,34.349545211593565,34.349545211593565,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,46.72312880615231,81.90173055839848,81.90173055839848,% At Least 1 Dose
