Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,181339,128798,34.51474402545232,48.59445928377381,48.59445928377381,% At Least 1 Dose
Queens,Queens,Borough,Borough,921195,602460,33.11749666087491,50.63850269978863,50.63850269978863,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,815603,544556,39.353546513234605,58.941358825967725,58.941358825967725,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,865975,543844,27.399894158278315,43.6294660669513,43.6294660669513,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,433577,307506,28.691298126857006,40.454127620105886,40.454127620105886,% At Least 1 Dose
85+,85+,Age,Age,86988,73007,40.800165420424946,48.61348623545585,48.61348623545585,% At Least 1 Dose
75-84,75-84,Age,Age,238832,201879,52.754744852705905,62.41125239703712,62.41125239703712,% At Least 1 Dose
65-74,65-74,Age,Age,490365,407262,56.65899178486208,68.22042446038151,68.22042446038151,% At Least 1 Dose
55-64,55-64,Age,Age,592848,418784,41.923492205227056,59.3486343959761,59.3486343959761,% At Least 1 Dose
45-54,45-54,Age,Age,518196,324007,31.515523491688935,50.40390550605153,50.40390550605153,% At Least 1 Dose
35-44,35-44,Age,Age,511085,298293,26.2372614798409,44.95402434326145,44.95402434326145,% At Least 1 Dose
25-34,25-34,Age,Age,579896,314596,21.203492082962917,39.084477377149945,39.084477377149945,% At Least 1 Dose
18-24,18-24,Age,Age,199479,89336,12.677692461687398,28.308111114947394,28.308111114947394,% At Least 1 Dose
Male,Male,Sex,Sex,1450230,937814,30.170256955926796,46.655106177977416,46.655106177977416,% At Least 1 Dose
Female,Female,Sex,Sex,1729279,1162648,32.989575293638765,49.067456164039626,49.067456164039626,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,599011,354772,34.86216107979841,58.86264409415378,58.86264409415378,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,378595,252619,17.38788115919216,26.058866781454903,26.058866781454903,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,574309,361704,19.83036776382681,31.48640512705309,31.48640512705309,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,8347,4971,33.0938124814726,55.56911140270604,55.56911140270604,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,989798,687086,30.85783644436495,44.45298666682124,44.45298666682124,% At Least 1 Dose
