Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,169332,115189,24.19210195256467,35.563265657586065,35.563265657586065,% At Least 1 Dose
Queens,Queens,Borough,Borough,814115,523068,23.0596053413703,35.89049722500647,35.89049722500647,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,745210,483609,30.011353218983515,46.245542436800605,46.245542436800605,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,772270,477197,18.641214139536054,30.16793995674639,30.16793995674639,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,394893,263528,18.54498108562754,27.78939321759629,27.78939321759629,% At Least 1 Dose
85+,85+,Age,Age,83696,68638,38.358537594026984,46.773742860655645,46.773742860655645,% At Least 1 Dose
75-84,75-84,Age,Age,230451,189281,49.46265268039284,60.22114091139211,60.22114091139211,% At Least 1 Dose
65-74,65-74,Age,Age,470493,377795,52.559491927461856,65.45579755006634,65.45579755006634,% At Least 1 Dose
55-64,55-64,Age,Age,547006,351377,35.17553421476482,54.75949839824929,54.75949839824929,% At Least 1 Dose
45-54,45-54,Age,Age,462090,274241,26.674882573167448,44.94658525980778,44.94658525980778,% At Least 1 Dose
35-44,35-44,Age,Age,448234,256295,22.543200581226593,39.42577486617188,39.42577486617188,% At Least 1 Dose
25-34,25-34,Age,Age,490840,269258,18.14775099262047,33.08218176328218,33.08218176328218,% At Least 1 Dose
18-24,18-24,Age,Age,150377,73283,10.399607511751563,21.340034916620017,21.340034916620017,% At Least 1 Dose
<18,<18,Age,Age,12633,2423,0.1421846411522012,0.7413200873610226,0.7413200873610226,% At Least 1 Dose
Male,Male,Sex,Sex,1297676,817017,20.536106485604073,32.617696473650795,32.617696473650795,% At Least 1 Dose
Female,Female,Sex,Sex,1564887,1021451,23.436507926097352,35.905282366894454,35.905282366894454,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,343988,223469,12.23918968063059,18.839903431172804,18.839903431172804,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,504532,307885,12.703675126568436,20.817547522476985,20.817547522476985,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,522218,303180,24.676908150591164,42.505196980623445,42.505196980623445,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7588,4198,22.254028837998305,40.22476675148431,40.22476675148431,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,917326,619510,23.099013563134047,34.20336349020275,34.20336349020275,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,4014,2432,48.21570182394657,79.57969865185918,79.57969865185918,% At Least 1 Dose
