Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,165844,113505,30.41659047973545,44.4421746312607,44.4421746312607,% At Least 1 Dose
Queens,Queens,Borough,Borough,785779,505894,27.809220289739823,43.19462438781932,43.19462438781932,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,716505,467111,33.75681190794616,51.77982217524949,51.77982217524949,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,742612,457876,23.068662957789073,37.41420370670151,37.41420370670151,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,387296,258121,24.083518903053786,36.13596157258464,36.13596157258464,% At Least 1 Dose
85+,85+,Age,Age,83158,67830,37.90698454213191,46.473080061250265,46.473080061250265,% At Least 1 Dose
75-84,75-84,Age,Age,228964,187093,48.890887505522144,59.83256010013401,59.83256010013401,% At Least 1 Dose
65-74,65-74,Age,Age,466935,372638,51.84204119394257,64.96080245410712,64.96080245410712,% At Least 1 Dose
55-64,55-64,Age,Age,536773,339149,33.951417575434,53.73509656881912,53.73509656881912,% At Least 1 Dose
45-54,45-54,Age,Age,448244,263905,25.669520186521176,43.599812078160696,43.599812078160696,% At Least 1 Dose
35-44,35-44,Age,Age,429742,245787,21.618937713408144,37.79925517149175,37.79925517149175,% At Least 1 Dose
25-34,25-34,Age,Age,464128,256463,17.28537931211115,31.281816594875377,31.281816594875377,% At Least 1 Dose
18-24,18-24,Age,Age,140092,69642,9.882912358028497,19.880488183293533,19.880488183293533,% At Least 1 Dose
Male,Male,Sex,Sex,1251354,789678,25.4045985370685,40.25709972641357,40.25709972641357,% At Least 1 Dose
Female,Female,Sex,Sex,1515549,990953,28.117812619087818,43.002970672722036,43.002970672722036,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,334961,216969,14.934075375283584,23.05551863068164,23.05551863068164,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,488520,297602,16.315985190239495,26.783036018359414,26.783036018359414,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,500857,291963,28.80440243426093,49.41340714411287,49.41340714411287,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7315,4065,27.06223048424585,48.69870012109676,48.69870012109676,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,885712,598511,26.879829523747116,39.7783625817021,39.7783625817021,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,3945,2370,58.71358179776297,97.73210134690925,97.73210134690925,% At Least 1 Dose
