Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,211196,182126,48.80535621965815,56.59541203434393,56.59541203434393,% At Least 1 Dose
Queens,Queens,Borough,Borough,1173934,971488,53.403131487700506,64.53167899128162,64.53167899128162,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,953294,830532,60.02023610561588,68.89190417475423,68.89190417475423,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1071948,892030,44.9421664779036,54.006777206658754,54.006777206658754,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,548843,450335,42.01770288045811,51.208815885994355,51.208815885994355,% At Least 1 Dose
85+,85+,Age,Age,97163,86542,48.36423789245437,54.29981334316915,54.29981334316915,% At Least 1 Dose
75-84,75-84,Age,Age,261612,236969,61.92441577876286,68.36409091785721,68.36409091785721,% At Least 1 Dose
65-74,65-74,Age,Age,542196,489186,68.05639994713366,75.43124256568274,75.43124256568274,% At Least 1 Dose
55-64,55-64,Age,Age,703831,606369,60.70219025796432,70.45888439457374,70.45888439457374,% At Least 1 Dose
45-54,45-54,Age,Age,649636,540336,52.55741975144127,63.18881573252069,63.18881573252069,% At Least 1 Dose
35-44,35-44,Age,Age,657230,537264,47.25667733304248,57.808649087963296,57.808649087963296,% At Least 1 Dose
25-34,25-34,Age,Age,746409,608253,40.995714090256854,50.30730626629795,50.30730626629795,% At Least 1 Dose
18-24,18-24,Age,Age,301138,221592,31.446172069157267,42.73456336222374,42.73456336222374,% At Least 1 Dose
Male,Male,Sex,Sex,1813466,1512741,48.66613707810467,58.34071063221143,58.34071063221143,% At Least 1 Dose
Female,Female,Sex,Sex,2101765,1774869,50.36105038829064,59.636566456085305,59.636566456085305,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,752155,622661,61.18664404211256,73.9115509876083,73.9115509876083,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,482531,397723,27.375455758582625,33.21282913647094,33.21282913647094,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,787296,623760,34.19754881440241,43.16338558321111,43.16338558321111,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10182,8065,53.69173157575467,67.78539502843572,67.78539502843572,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1138156,1010369,45.376854353685815,51.11591808910767,51.11591808910767,% At Least 1 Dose
