Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,211724,180007,37.805239182346476,44.466473307388746,44.466473307388746,% At Least 1 Dose
Queens,Queens,Borough,Borough,1172209,949825,41.873312157056155,51.67717565900101,51.67717565900101,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,958383,819591,50.86140869193898,59.47443230392544,59.47443230392544,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1068456,868121,33.9122615188867,41.73814398387277,41.73814398387277,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,543958,438218,30.838258254840202,38.27938898855448,38.27938898855448,% At Least 1 Dose
85+,85+,Age,Age,96353,85141,47.58128513786898,53.84714258570007,53.84714258570007,% At Least 1 Dose
75-84,75-84,Age,Age,259599,233799,61.096035703653115,67.83805650423075,67.83805650423075,% At Least 1 Dose
65-74,65-74,Age,Age,537019,482093,67.06960955487995,74.71100939767238,74.71100939767238,% At Least 1 Dose
55-64,55-64,Age,Age,693598,591145,59.17815102692307,69.43448256514355,69.43448256514355,% At Least 1 Dose
45-54,45-54,Age,Age,637146,522722,50.844140622340326,61.97393800330128,61.97393800330128,% At Least 1 Dose
35-44,35-44,Age,Age,642748,518095,45.57061005923093,56.53484105106315,56.53484105106315,% At Least 1 Dose
25-34,25-34,Age,Age,730534,585100,39.43522237327113,49.23734531060545,49.23734531060545,% At Least 1 Dose
18-24,18-24,Age,Age,290447,207440,29.437858469737105,41.21740107481553,41.21740107481553,% At Least 1 Dose
<18,<18,Age,Age,67286,30227,1.7737577994666056,3.9484258211172136,3.9484258211172136,% At Least 1 Dose
Male,Male,Sex,Sex,1810630,1477231,37.13089583183139,45.511036472961145,45.511036472961145,% At Least 1 Dose
Female,Female,Sex,Sex,2100070,1740428,39.93295284531687,48.18469725944687,48.18469725944687,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,750482,607443,49.239811874109336,60.8346667833942,60.8346667833942,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,477607,386527,21.169724971629623,26.158092020803487,26.158092020803487,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,772787,600150,24.762851802491344,31.886045081882664,31.886045081882664,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10259,7947,42.12786259541985,54.3840118744699,54.3840118744699,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1138624,995517,37.11878853502045,42.45466775243328,42.45466775243328,% At Least 1 Dose
