Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,184283,129992,27.301041913878816,38.70328871788517,38.70328871788517,% At Least 1 Dose
Queens,Queens,Borough,Borough,940900,612163,26.98738440238988,41.47985092893337,41.47985092893337,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,828837,552873,34.30967349292315,51.43518827805653,51.43518827805653,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,881932,552787,21.594060399691774,34.45177414885112,34.45177414885112,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,441442,312245,21.973291715042695,31.065137444224494,31.065137444224494,% At Least 1 Dose
85+,85+,Age,Age,87513,73485,41.0672970526104,48.90688394863025,48.90688394863025,% At Least 1 Dose
75-84,75-84,Age,Age,240034,203178,53.09419776045592,62.72535739712605,62.72535739712605,% At Least 1 Dose
65-74,65-74,Age,Age,492878,410219,57.070374724365,68.57003735418294,68.57003735418294,% At Least 1 Dose
55-64,55-64,Age,Age,598087,425477,42.59351286821701,59.873098500772805,59.873098500772805,% At Least 1 Dose
45-54,45-54,Age,Age,524115,330047,32.10302240958207,50.97963499198025,50.97963499198025,% At Least 1 Dose
35-44,35-44,Age,Age,517441,303525,26.6974578373234,45.51308551454562,45.51308551454562,% At Least 1 Dose
25-34,25-34,Age,Age,587475,319964,21.56529053399645,39.59529527215426,39.59529527215426,% At Least 1 Dose
18-24,18-24,Age,Age,204441,90869,12.89524084692702,29.012269684783664,29.012269684783664,% At Least 1 Dose
<18,<18,Age,Age,25410,3296,0.1934133624587929,1.4910902730818953,1.4910902730818953,% At Least 1 Dose
Male,Male,Sex,Sex,1478721,953272,23.960939982576573,37.16834768248266,37.16834768248266,% At Least 1 Dose
Female,Female,Sex,Sex,1759996,1179816,27.070086607518597,40.3819274775781,40.3819274775781,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,610614,360427,29.21649878976234,49.49685565180173,49.49685565180173,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,384747,256732,14.060973312126748,21.07223602402829,21.07223602402829,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,585891,368153,15.190399366229437,24.17450971492703,24.17450971492703,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,8568,5055,26.797073791348602,45.41984732824427,45.41984732824427,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1002033,696248,25.96026213508249,37.36174372925037,37.36174372925037,% At Least 1 Dose
