Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,177761,123799,33.175133120133644,47.6356419564623,47.6356419564623,% At Least 1 Dose
Queens,Queens,Borough,Borough,873926,573197,31.508896413908833,48.04010454943361,48.04010454943361,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,788789,521425,37.681933521370354,57.003585674618975,57.003585674618975,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,825836,519918,26.19445681295324,41.60718697291122,41.60718697291122,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,420989,295546,27.575391687316937,39.279626762168554,39.279626762168554,% At Least 1 Dose
85+,85+,Age,Age,85650,71652,40.04291989404151,47.865741206451396,47.865741206451396,% At Least 1 Dose
75-84,75-84,Age,Age,235577,198115,51.77114150800147,61.560660237894474,61.560660237894474,% At Least 1 Dose
65-74,65-74,Age,Age,482691,398447,55.4326337829283,67.15280434616258,67.15280434616258,% At Least 1 Dose
55-64,55-64,Age,Age,575288,397015,39.74424824696794,57.59074363815395,57.59074363815395,% At Least 1 Dose
45-54,45-54,Age,Age,496481,305882,29.752540397845706,48.2917301745864,48.2917301745864,% At Least 1 Dose
35-44,35-44,Age,Age,486295,282450,24.843742578542113,42.77354504242215,42.77354504242215,% At Least 1 Dose
25-34,25-34,Age,Age,544301,296606,19.990981998370287,36.68540586736258,36.68540586736258,% At Least 1 Dose
18-24,18-24,Age,Age,181018,83718,11.880440779837306,25.688306327009595,25.688306327009595,% At Least 1 Dose
Male,Male,Sex,Sex,1388718,894994,28.79270191531876,44.676213939353374,44.676213939353374,% At Least 1 Dose
Female,Female,Sex,Sex,1663387,1113553,31.596528387747043,47.19780249822809,47.19780249822809,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,571866,338937,33.30611291168309,56.1952031390865,56.1952031390865,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,366743,244648,16.839233588265504,25.243088207797555,25.243088207797555,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,548123,343534,18.834200228304024,30.05076158906742,30.05076158906742,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,8078,4728,31.47607029016343,53.77827745430207,53.77827745430207,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,961906,663524,29.79963944675166,43.20032430125678,43.20032430125678,% At Least 1 Dose
