Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,172498,118423,31.734495347180395,46.225285446221804,46.225285446221804,% At Least 1 Dose
Queens,Queens,Borough,Borough,836937,544514,29.93217902732072,46.00680261405349,46.00680261405349,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,762346,500545,36.172994034529076,55.092623660704035,55.092623660704035,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,792377,495767,24.977683540072455,39.921458972525386,39.921458972525386,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,407217,277700,25.910302530123612,37.994654898845326,37.994654898845326,% At Least 1 Dose
85+,85+,Age,Age,84619,69993,39.11578312041042,47.28956398305558,47.28956398305558,% At Least 1 Dose
75-84,75-84,Age,Age,232876,193120,50.46585492277337,60.85483860291927,60.85483860291927,% At Least 1 Dose
65-74,65-74,Age,Age,476193,386961,53.83468165471371,66.24879138001785,66.24879138001785,% At Least 1 Dose
55-64,55-64,Age,Age,559736,371672,37.20721946134798,56.033869089996216,56.033869089996216,% At Least 1 Dose
45-54,45-54,Age,Age,476974,288113,28.024184723666384,46.39432265946365,46.39432265946365,% At Least 1 Dose
35-44,35-44,Age,Age,464249,267912,23.56500889255576,40.834422546806856,40.834422546806856,% At Least 1 Dose
25-34,25-34,Age,Age,513080,281391,18.965504458788473,34.58113808798146,34.58113808798146,% At Least 1 Dose
18-24,18-24,Age,Age,163648,77787,11.03877119545623,23.223325601887474,23.223325601887474,% At Least 1 Dose
Male,Male,Sex,Sex,1333518,850817,27.371491055231385,42.90038399443129,42.90038399443129,% At Least 1 Dose
Female,Female,Sex,Sex,1604223,1061461,30.11844305478622,45.519052581939725,45.519052581939725,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,544717,319831,31.428635406156648,53.52736911848892,53.52736911848892,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,353795,233055,16.041282102912007,24.351871453518502,24.351871453518502,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,523445,323338,17.726957545452173,28.69779392579657,28.69779392579657,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7736,4423,29.445570831935886,51.501455110978064,51.501455110978064,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,934431,639458,28.71880721924289,41.966389893760585,41.966389893760585,% At Least 1 Dose
