Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,171217,116375,24.441186786322596,35.95915512776624,35.95915512776624,% At Least 1 Dose
Queens,Queens,Borough,Borough,827727,533549,23.521663283326035,36.49058621516976,36.49058621516976,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,755791,491794,30.519290263367267,46.902168199369264,46.902168199369264,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,782934,485841,18.978883184023235,30.584518241153063,30.584518241153063,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,401847,268225,18.875518167680273,28.278759806609425,28.278759806609425,% At Least 1 Dose
85+,85+,Age,Age,84100,69244,38.697202382948284,46.99951938660318,46.99951938660318,% At Least 1 Dose
75-84,75-84,Age,Age,231583,190922,49.89147656154586,60.51695360698335,60.51695360698335,% At Least 1 Dose
65-74,65-74,Age,Age,473102,381784,53.11444848670336,65.81876612942484,65.81876612942484,% At Least 1 Dose
55-64,55-64,Age,Age,552820,360268,36.065591545504944,55.341524415674,55.341524415674,% At Least 1 Dose
45-54,45-54,Age,Age,469162,280085,27.243316956638886,45.63446478751312,45.63446478751312,% At Least 1 Dose
35-44,35-44,Age,Age,455952,261267,22.980527853666004,40.104634859874075,40.104634859874075,% At Least 1 Dose
25-34,25-34,Age,Age,501658,274564,18.505370698504212,33.811305392805416,33.811305392805416,% At Least 1 Dose
18-24,18-24,Age,Age,156885,75131,10.661857619985627,22.263586704708377,22.263586704708377,% At Least 1 Dose
<18,<18,Age,Age,14254,2519,0.147818040058768,0.836442375147947,0.836442375147947,% At Least 1 Dose
Male,Male,Sex,Sex,1318312,831942,20.911253378872683,33.13639203743578,33.13639203743578,% At Least 1 Dose
Female,Female,Sex,Sex,1587646,1039333,23.846798419458732,36.42747235338431,36.42747235338431,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,536737,312445,25.32703977328917,43.50832737536497,43.50832737536497,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,349373,227952,12.484719428999567,19.134834882202682,19.134834882202682,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,514460,314395,12.972284916178067,21.227187766907768,21.227187766907768,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7686,4318,22.890161153519934,40.74427480916031,40.74427480916031,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,927281,629153,23.45856189615418,34.57454503694291,34.57454503694291,% At Least 1 Dose
