Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,20.315243595160958,35.37950185531098,35.37950185531098,% At Least 1 Dose
Queens,Queens,Borough,Borough,15.837920833650859,32.35137351417204,32.35137351417204,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,22.182494464818813,39.02263492749484,39.02263492749484,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,13.307371312409536,27.614067616231036,27.614067616231036,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,16.29521972013334,27.262359404318865,27.262359404318865,% At Least 1 Dose
85+,85+,Age,Age,28.457901619555376,41.32269277626888,41.32269277626888,% At Least 1 Dose
75-84,75-84,Age,Age,36.72467578410769,53.79296379226772,53.79296379226772,% At Least 1 Dose
65-74,65-74,Age,Age,37.118510841060335,57.69572687623027,57.69572687623027,% At Least 1 Dose
55-64,55-64,Age,Age,18.14421561406546,41.94721772399721,41.94721772399721,% At Least 1 Dose
45-54,45-54,Age,Age,14.129640779428202,30.724928921385057,30.724928921385057,% At Least 1 Dose
35-44,35-44,Age,Age,12.268648419482348,25.035579018845883,25.035579018845883,% At Least 1 Dose
25-34,25-34,Age,Age,10.111350078418871,20.377987718533205,20.377987718533205,% At Least 1 Dose
18-24,18-24,Age,Age,5.020074447391776,11.98062940343755,11.98062940343755,% At Least 1 Dose
Male,Male,Sex,Sex,15.322581391432056,29.62029657715065,29.62029657715065,% At Least 1 Dose
Female,Female,Sex,Sex,17.749423659403433,32.72665702029131,32.72665702029131,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,8.439646457053296,17.15007193104618,17.15007193104618,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,8.830583862362097,18.50919851390782,18.50919851390782,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,15.213611593858264,34.19535595308118,34.19535595308118,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,16.530262802554105,34.65829567059874,34.65829567059874,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,17.50888925819234,30.308572830036347,30.308572830036347,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,37.234815798328164,70.92699775822591,70.92699775822591,% At Least 1 Dose
