Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,202039,167009,44.75436641055581,54.14155785150672,54.14155785150672,% At Least 1 Dose
Queens,Queens,Borough,Borough,1108767,849921,46.720538922928434,60.949419746021796,60.949419746021796,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,916711,755413,54.59159504661062,66.24815258245948,66.24815258245948,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1014724,781558,39.37637719374615,51.123723346887715,51.123723346887715,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,512017,400177,37.33780027222642,47.77283172692222,47.77283172692222,% At Least 1 Dose
85+,85+,Age,Age,94674,82722,46.22942024611877,52.90882875632901,52.90882875632901,% At Least 1 Dose
75-84,75-84,Age,Age,255448,227302,59.398248527631694,66.75332284751767,66.75332284751767,% At Least 1 Dose
65-74,65-74,Age,Age,527655,465740,64.79455199326641,73.40827356895906,73.40827356895906,% At Least 1 Dose
55-64,55-64,Age,Age,673218,551282,55.18755881285337,67.39428816625886,67.39428816625886,% At Least 1 Dose
45-54,45-54,Age,Age,613011,475167,46.21855932425952,59.62637403254782,59.62637403254782,% At Least 1 Dose
35-44,35-44,Age,Age,616026,466430,41.02625898711063,54.18442685674981,54.18442685674981,% At Least 1 Dose
25-34,25-34,Age,Age,701989,517840,34.90195787690091,47.31343756381854,47.31343756381854,% At Least 1 Dose
18-24,18-24,Age,Age,272237,167595,23.783445286519424,38.633215755041554,38.633215755041554,% At Least 1 Dose
Male,Male,Sex,Sex,1711997,1329228,42.7623711237118,55.07636844595603,55.07636844595603,% At Least 1 Dose
Female,Female,Sex,Sex,1999082,1590083,45.11783691335211,56.7229859399904,56.7229859399904,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,716650,538478,52.914285157587656,70.4226030741928,70.4226030741928,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,453848,349454,24.05307844067286,31.238565144890302,31.238565144890302,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,718323,527661,28.9289354959542,39.38195116231881,39.38195116231881,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9646,7158,47.65349220325504,64.21704188217353,64.21704188217353,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1107432,934441,41.96683900546486,49.73606728889246,49.73606728889246,% At Least 1 Dose
