Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,194150,149661,40.10552264470893,52.02749695291517,52.02749695291517,% At Least 1 Dose
Queens,Queens,Borough,Borough,1046470,726942,39.96032808427071,57.52492568918396,57.52492568918396,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,883104,660339,47.72086167630661,63.81946822736969,63.81946822736969,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,963045,664173,33.46229783317676,48.52003712398986,48.52003712398986,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,482934,359015,33.497253377214,45.059294353916876,45.059294353916876,% At Least 1 Dose
85+,85+,Age,Age,92448,79319,44.32764421196168,51.66482245246957,51.66482245246957,% At Least 1 Dose
75-84,75-84,Age,Age,250159,217724,56.895338635076165,65.37120858339924,65.37120858339924,% At Least 1 Dose
65-74,65-74,Age,Age,514953,442871,61.61297727446621,71.64114942368815,71.64114942368815,% At Least 1 Dose
55-64,55-64,Age,Age,645738,499099,49.96364005343237,64.643329281011,64.643329281011,% At Least 1 Dose
45-54,45-54,Age,Age,579430,408172,39.70208746925114,56.36001622430786,56.36001622430786,% At Least 1 Dose
35-44,35-44,Age,Age,579056,385155,33.87747096065989,50.93261887966112,50.93261887966112,% At Least 1 Dose
25-34,25-34,Age,Age,660531,409876,27.625279790577466,44.519205040914635,44.519205040914635,% At Least 1 Dose
18-24,18-24,Age,Age,247388,117914,16.733203064021314,35.106888406822804,35.106888406822804,% At Least 1 Dose
Male,Male,Sex,Sex,1620607,1141517,36.72355201517431,52.13627607881056,52.13627607881056,% At Least 1 Dose
Female,Female,Sex,Sex,1907233,1388553,39.39952052788805,54.11681493970018,54.11681493970018,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,676798,443136,43.54537170988,66.50649119571274,66.50649119571274,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,427474,304684,20.97153889100703,29.42323067799536,29.42323067799536,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,661522,445151,24.405337072399718,36.267844823010634,36.267844823010634,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9234,6158,40.99611693037784,61.47420326974813,61.47420326974813,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1072809,825389,37.06918604800264,48.181107835180335,48.181107835180335,% At Least 1 Dose
