Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,168302,115079,30.83838435150413,45.100859089206956,45.100859089206956,% At Least 1 Dose
Queens,Queens,Borough,Borough,810727,522472,28.72052039206028,44.56602714766314,44.56602714766314,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,741121,482711,34.88418049006895,53.55875198406581,53.55875198406581,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,769453,476623,24.01317244173161,38.76650429124845,38.76650429124845,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,393584,263283,24.565150093764977,36.72265218226925,36.72265218226925,% At Least 1 Dose
85+,85+,Age,Age,83696,68638,38.358537594026984,46.773742860655645,46.773742860655645,% At Least 1 Dose
75-84,75-84,Age,Age,230451,189281,49.46265268039284,60.22114091139211,60.22114091139211,% At Least 1 Dose
65-74,65-74,Age,Age,470493,377795,52.559491927461856,65.45579755006634,65.45579755006634,% At Least 1 Dose
55-64,55-64,Age,Age,547006,351377,35.17553421476482,54.75949839824929,54.75949839824929,% At Least 1 Dose
45-54,45-54,Age,Age,462090,274241,26.674882573167448,44.94658525980778,44.94658525980778,% At Least 1 Dose
35-44,35-44,Age,Age,448234,256295,22.543200581226593,39.42577486617188,39.42577486617188,% At Least 1 Dose
25-34,25-34,Age,Age,490840,269258,18.14775099262047,33.08218176328218,33.08218176328218,% At Least 1 Dose
18-24,18-24,Age,Age,150377,73283,10.399607511751563,21.340034916620017,21.340034916620017,% At Least 1 Dose
Male,Male,Sex,Sex,1291686,815818,26.245544094319644,41.55461373617077,41.55461373617077,% At Least 1 Dose
Female,Female,Sex,Sex,1558292,1020244,28.94893059282189,44.215782647434935,44.215782647434935,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,343312,223331,15.371974741264689,23.63032177518151,23.63032177518151,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,503255,307676,16.86829073525086,27.59088019204836,27.59088019204836,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,520446,302917,29.885099043985086,51.34601312255786,51.34601312255786,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,7518,4190,27.894402393355495,50.050147301490846,50.050147301490846,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,914886,618937,27.797185090899696,41.08860106775465,41.08860106775465,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,3999,2429,60.17522792690559,99.06987916002285,99.06987916002285,% At Least 1 Dose
