Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,206143,171745,36.070046183604504,43.2943464463407,43.2943464463407,% At Least 1 Dose
Queens,Queens,Borough,Borough,1135702,883754,38.9605528513642,50.06775391613506,50.06775391613506,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,933040,779820,48.393337318428166,57.901720206696695,57.901720206696695,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1035778,811440,31.69807605954173,40.46161124026424,40.46161124026424,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,523949,412275,29.01259857425812,36.87131650084038,36.87131650084038,% At Least 1 Dose
85+,85+,Age,Age,95144,83416,46.61726408029597,53.17148956621847,53.17148956621847,% At Least 1 Dose
75-84,75-84,Age,Age,256575,229213,59.89762844041866,67.04782894993049,67.04782894993049,% At Least 1 Dose
65-74,65-74,Age,Age,530211,470484,65.45454545454535,73.76386869691626,73.76386869691626,% At Least 1 Dose
55-64,55-64,Age,Age,678645,562477,56.30826422480205,67.93757251379307,67.93757251379307,% At Least 1 Dose
45-54,45-54,Age,Age,619414,488847,47.549186012467814,60.24918124633422,60.24918124633422,% At Least 1 Dose
35-44,35-44,Age,Age,623185,481455,42.34782822854308,54.81411831760937,54.81411831760937,% At Least 1 Dose
25-34,25-34,Age,Age,709656,539342,36.35117365449461,47.83018658097094,47.83018658097094,% At Least 1 Dose
18-24,18-24,Age,Age,277130,179822,25.518581689862447,39.32758251888856,39.32758251888856,% At Least 1 Dose
<18,<18,Age,Age,44652,23978,1.407058739392274,2.620234666416875,2.620234666416875,% At Least 1 Dose
Male,Male,Sex,Sex,1750809,1379443,34.672948468417594,44.00740750798818,44.00740750798818,% At Least 1 Dose
Female,Female,Sex,Sex,2040239,1643527,37.70962440905634,46.81191510374256,46.81191510374256,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,731997,562517,45.598074644021516,59.33625800677992,59.33625800677992,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,462040,361019,19.772675491059495,25.305501881865304,25.305501881865304,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,736314,548789,22.64364021967412,30.38112882129403,30.38112882129403,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9965,7475,39.62574215436811,52.8254877014419,52.8254877014419,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1119838,957671,35.70766479640384,41.754214057098196,41.754214057098196,% At Least 1 Dose
