Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,209830,177986,37.380786864450386,44.06869364875678,44.06869364875678,% At Least 1 Dose
Queens,Queens,Borough,Borough,1158601,927946,40.90877006068658,51.07726301000438,51.07726301000438,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,946192,808911,50.19863928033013,58.71789467312736,58.71789467312736,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1057120,855283,33.41075814161618,41.2953147047998,41.2953147047998,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,537781,432296,30.421515525456282,37.84470141013427,37.84470141013427,% At Least 1 Dose
85+,85+,Age,Age,96159,84744,47.35942058143044,53.7387251450223,53.7387251450223,% At Least 1 Dose
75-84,75-84,Age,Age,258968,232692,60.80675597395392,67.67316444511586,67.67316444511586,% At Least 1 Dose
65-74,65-74,Age,Age,535492,479234,66.67186054438321,74.49857052428011,74.49857052428011,% At Least 1 Dose
55-64,55-64,Age,Age,690015,583616,58.42444034835571,69.07579676871549,69.07579676871549,% At Least 1 Dose
45-54,45-54,Age,Age,632458,513523,49.94937198894646,61.51794546570475,61.51794546570475,% At Least 1 Dose
35-44,35-44,Age,Age,637450,508026,44.68496076192754,56.06883946430048,56.06883946430048,% At Least 1 Dose
25-34,25-34,Age,Age,724854,572458,38.583162757405645,48.85451833559233,48.85451833559233,% At Least 1 Dose
18-24,18-24,Age,Age,286744,199950,28.374950834091468,40.6919074867253,40.6919074867253,% At Least 1 Dose
<18,<18,Age,Age,47384,28179,1.653578622793181,2.780551810299588,2.780551810299588,% At Least 1 Dose
Male,Male,Sex,Sex,1787844,1450361,36.455505746596714,44.938299648169284,44.938299648169284,% At Least 1 Dose
Female,Female,Sex,Sex,2077824,1714758,39.34397191675259,47.674277713796656,47.674277713796656,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,743300,593878,48.14022220384843,60.25248816107103,60.25248816107103,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,473166,380140,20.81991491077023,25.914862573445323,25.914862573445323,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,762065,586997,24.22014449638759,31.44364352056247,31.44364352056247,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10149,7845,41.587150127226465,53.80089058524173,53.80089058524173,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1131319,985686,36.752230445015165,42.18229395043058,42.18229395043058,% At Least 1 Dose
