Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,187511,133665,28.072448823147667,39.38123630926003,39.38123630926003,% At Least 1 Dose
Queens,Queens,Borough,Borough,962775,631863,27.855864648218326,42.44421668413628,42.44421668413628,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,841987,569992,35.37202832038869,52.25123863036518,52.25123863036518,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,903896,574301,22.434482868814545,35.309775409045066,35.309775409045066,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,451439,321374,22.615717310541818,31.768645898404007,31.768645898404007,% At Least 1 Dose
85+,85+,Age,Age,88578,74365,41.55908750516939,49.50206216678403,49.50206216678403,% At Least 1 Dose
75-84,75-84,Age,Age,242317,205735,53.76238951189302,63.321947842386464,63.321947842386464,% At Least 1 Dose
65-74,65-74,Age,Age,497805,416117,57.89091465577799,69.25549009105507,69.25549009105507,% At Least 1 Dose
55-64,55-64,Age,Age,608961,441101,44.15759516891252,60.96166934932394,60.96166934932394,% At Least 1 Dose
45-54,45-54,Age,Age,536086,345390,33.595405836276505,52.144030612195266,52.144030612195266,% At Least 1 Dose
35-44,35-44,Age,Age,530268,317258,27.90538531769557,46.641323029344555,46.641323029344555,% At Least 1 Dose
25-34,25-34,Age,Age,602434,333522,22.47908773949433,40.603518638214354,40.603518638214354,% At Least 1 Dose
18-24,18-24,Age,Age,213536,94171,13.36382843209416,30.302943242353365,30.302943242353365,% At Least 1 Dose
<18,<18,Age,Age,27623,3536,0.2074968597252099,1.6209518541259818,1.6209518541259818,% At Least 1 Dose
Male,Male,Sex,Sex,1512357,986821,24.804209873515845,38.01380435933244,38.01380435933244,% At Least 1 Dose
Female,Female,Sex,Sex,1796123,1217119,27.925978916760258,41.210837255772184,41.210837255772184,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,626060,374331,30.34356806918052,50.74892067552822,50.74892067552822,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,394569,266074,14.572625979818692,21.61017784612958,21.61017784612958,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,603603,381601,15.745278698129633,24.905326395966316,24.905326395966316,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,8765,5255,27.857294317217978,46.46416454622562,46.46416454622562,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1017895,718208,26.779061408454062,37.95317333190155,37.95317333190155,% At Least 1 Dose
