Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,24.64787594506944,38.59842687925338,38.59842687925338,% At Least 1 Dose
Queens,Queens,Borough,Borough,20.72089084143371,36.22547087278808,36.22547087278808,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,27.1770986197068,43.55588517031412,43.55588517031412,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,17.222548780653753,31.210478801608428,31.210478801608428,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,19.546463515468908,30.775318714947904,30.775318714947904,% At Least 1 Dose
85+,85+,Age,Age,32.68897606992366,43.274765561255855,43.274765561255855,% At Least 1 Dose
75-84,75-84,Age,Age,42.461665111855034,56.215387545033416,56.215387545033416,% At Least 1 Dose
65-74,65-74,Age,Age,44.09546532738813,60.65206352297934,60.65206352297934,% At Least 1 Dose
55-64,55-64,Age,Age,24.648010987310833,47.09625594316474,47.09625594316474,% At Least 1 Dose
45-54,45-54,Age,Age,18.847723976667343,35.80494646853817,35.80494646853817,% At Least 1 Dose
35-44,35-44,Age,Age,15.958311417126833,29.626196009168744,29.626196009168744,% At Least 1 Dose
25-34,25-34,Age,Age,12.816009177063542,23.941918138382515,23.941918138382515,% At Least 1 Dose
18-24,18-24,Age,Age,6.643527498364551,13.613590439936127,13.613590439936127,% At Least 1 Dose
Male,Male,Sex,Sex,19.488929374711482,33.528184093446306,33.528184093446306,% At Least 1 Dose
Female,Female,Sex,Sex,22.022030035659043,36.456090020042495,36.456090020042495,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,11.284478065881496,19.462155804461972,19.462155804461972,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,11.80894387156822,21.60055254021424,21.60055254021424,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,20.59558726061673,39.3072067962661,39.3072067962661,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,20.39819783609576,39.717900877985414,39.717900877985414,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,21.460982433473493,33.951317863412726,33.951317863412726,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,45.41012465624453,80.53917908207909,80.53917908207909,% At Least 1 Dose
