Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,23.119610093292593,37.48096789242023,37.48096789242023,% At Least 1 Dose
Queens,Queens,Borough,Borough,19.339593400782938,34.78711410615053,34.78711410615053,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,25.72828545724541,42.077803785047614,42.077803785047614,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,16.264234656043364,29.89792953635687,29.89792953635687,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,18.05314557526499,29.29627616648726,29.29627616648726,% At Least 1 Dose
85+,85+,Age,Age,31.415350568353283,42.6197900948932,42.6197900948932,% At Least 1 Dose
75-84,75-84,Age,Age,40.764400573104965,55.38491692083822,55.38491692083822,% At Least 1 Dose
65-74,65-74,Age,Age,41.985684374543446,59.591538616712604,59.591538616712604,% At Least 1 Dose
55-64,55-64,Age,Age,22.684198743791647,45.29952340777796,45.29952340777796,% At Least 1 Dose
45-54,45-54,Age,Age,17.375766836853302,33.91639034439692,33.91639034439692,% At Least 1 Dose
35-44,35-44,Age,Age,14.860595335058482,27.790600102383134,27.790600102383134,% At Least 1 Dose
25-34,25-34,Age,Age,12.061745677526236,22.67077082346217,22.67077082346217,% At Least 1 Dose
18-24,18-24,Age,Age,6.140455726887411,13.098882029457256,13.098882029457256,% At Least 1 Dose
Male,Male,Sex,Sex,18.207146901966357,32.093911875430706,32.093911875430706,% At Least 1 Dose
Female,Female,Sex,Sex,20.72247716286465,35.096014302757474,35.096014302757474,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,10.6039513397804,18.63171634351227,18.63171634351227,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,10.7811423972454,20.400601034986547,20.400601034986547,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,18.97138529915162,37.41781289697567,37.41781289697567,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,18.96686215242716,37.68074404448499,37.68074404448499,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,20.41024069015117,32.709658734602996,32.709658734602996,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,42.585927050782516,76.60016663235575,76.60016663235575,% At Least 1 Dose
