Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,200079,162643,43.58438417158374,53.61632533011752,53.61632533011752,% At Least 1 Dose
Queens,Queens,Borough,Borough,1096352,821263,45.14519579756351,60.266961622586614,60.266961622586614,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,909840,733296,52.99326101258435,65.75160453580784,65.75160453580784,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1004294,755091,38.042919439891826,50.59824012730482,50.59824012730482,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,506910,390765,36.45963042197967,47.29633221298149,47.29633221298149,% At Least 1 Dose
85+,85+,Age,Age,94336,82132,45.89969710178944,52.71993651432339,52.71993651432339,% At Least 1 Dose
75-84,75-84,Age,Age,254529,225590,58.9508710233453,66.51317102132654,66.51317102132654,% At Least 1 Dose
65-74,65-74,Age,Age,525378,461208,64.16405233759268,73.09149340215211,73.09149340215211,% At Least 1 Dose
55-64,55-64,Age,Age,668183,540257,54.08387170550775,66.89024602698584,66.89024602698584,% At Least 1 Dose
45-54,45-54,Age,Age,606458,460183,44.76109512132728,58.98897661384688,58.98897661384688,% At Least 1 Dose
35-44,35-44,Age,Age,608386,448218,39.424367537861535,53.51242758856053,53.51242758856053,% At Least 1 Dose
25-34,25-34,Age,Age,693364,491613,33.13428127942393,46.73212019419033,46.73212019419033,% At Least 1 Dose
18-24,18-24,Age,Age,266841,153857,21.833882523034813,37.86746814463516,37.86746814463516,% At Least 1 Dose
Male,Male,Sex,Sex,1693463,1285434,41.35348169240894,54.48011423944903,54.48011423944903,% At Least 1 Dose
Female,Female,Sex,Sex,1981242,1543690,43.801457952051884,56.2167845589718,56.2167845589718,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,708167,513838,50.49300149087711,69.58900935078755,69.58900935078755,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,448888,339819,23.389896989678213,30.897166079303023,30.897166079303023,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,706714,507577,27.827833196370293,38.74548947162624,38.74548947162624,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9545,6839,45.52978949120722,63.54464697961294,63.54464697961294,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1099937,909865,40.86310208103806,49.39945806653817,49.39945806653817,% At Least 1 Dose
