Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,17.817173409247612,32.78040480176308,32.78040480176308,% At Least 1 Dose
Queens,Queens,Borough,Borough,13.949685912990478,29.754624477284825,29.754624477284825,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,19.86929312217981,36.05404219567176,36.05404219567176,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,11.824984661423182,25.33589885083319,25.33589885083319,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,14.897071058217955,25.344231930734846,25.344231930734846,% At Least 1 Dose
85+,85+,Age,Age,25.96206507281852,39.978651823536644,39.978651823536644,% At Least 1 Dose
75-84,75-84,Age,Age,33.57082117007003,52.10954914120877,52.10954914120877,% At Least 1 Dose
65-74,65-74,Age,Age,33.360276573988365,55.54003575428313,55.54003575428313,% At Least 1 Dose
55-64,55-64,Age,Age,15.64082300695508,37.89515939800822,37.89515939800822,% At Least 1 Dose
45-54,45-54,Age,Age,12.384263199515216,27.321520454980952,27.321520454980952,% At Least 1 Dose
35-44,35-44,Age,Age,10.9646707819292,22.80408406675662,22.80408406675662,% At Least 1 Dose
25-34,25-34,Age,Age,9.1488233125452,18.42172839639307,18.42172839639307,% At Least 1 Dose
18-24,18-24,Age,Age,4.383890878553406,10.619994101625752,10.619994101625752,% At Least 1 Dose
Male,Male,Sex,Sex,13.570493520773603,27.1641500408288,27.1641500408288,% At Least 1 Dose
Female,Female,Sex,Sex,15.896879827266467,30.25126416826986,30.25126416826986,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,7.490887440913162,15.660099033310726,15.660099033310726,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,7.572792139744392,16.568947050938565,16.568947050938565,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,12.889630460148,30.508517144847502,30.508517144847502,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,14.126950329045432,28.99952668865311,28.99952668865311,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,15.653159696127098,27.762828045522642,27.762828045522642,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,32.676461768459646,63.86650374457087,63.86650374457087,% At Least 1 Dose
