Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,18.247810481631518,33.52805721741404,33.52805721741404,% At Least 1 Dose
Queens,Queens,Borough,Borough,14.38889979992138,30.654380785330503,30.654380785330503,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,20.378777000639147,37.1853132075019,37.1853132075019,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,12.172770918832649,26.07560591026906,26.07560591026906,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,15.294356143465581,25.982425914552078,25.982425914552078,% At Least 1 Dose
85+,85+,Age,Age,26.598598397210203,40.52520984922152,40.52520984922152,% At Least 1 Dose
75-84,75-84,Age,Age,34.33988191488012,52.76075518132658,52.76075518132658,% At Least 1 Dose
65-74,65-74,Age,Age,34.245647229043,56.34930682600733,56.34930682600733,% At Least 1 Dose
55-64,55-64,Age,Age,16.262191340315105,39.352526918075114,39.352526918075114,% At Least 1 Dose
45-54,45-54,Age,Age,12.791718988762623,28.420649225211488,28.420649225211488,% At Least 1 Dose
35-44,35-44,Age,Age,11.249390890715679,23.56201831989628,23.56201831989628,% At Least 1 Dose
25-34,25-34,Age,Age,9.33956280889857,19.067074925574527,19.067074925574527,% At Least 1 Dose
18-24,18-24,Age,Age,4.511468176877228,11.045299066115733,11.045299066115733,% At Least 1 Dose
Male,Male,Sex,Sex,13.974301808249361,28.008344852145832,28.008344852145832,% At Least 1 Dose
Female,Female,Sex,Sex,16.32760499340225,31.103180662872017,31.103180662872017,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,7.779562376613374,16.185688401218886,16.185688401218886,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,7.892146894528114,17.173665153129885,17.173665153129885,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,13.370290847456387,31.667449322538726,31.667449322538726,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,14.712799353058625,31.47607029016343,31.47607029016343,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,16.016670709567464,28.65543755776966,28.65543755776966,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,33.79127661272097,66.78979600285611,66.78979600285611,% At Least 1 Dose
