Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,202782,168595,45.17937599163912,54.34066385323742,54.34066385323742,% At Least 1 Dose
Queens,Queens,Borough,Borough,1114584,862314,47.40178769648722,61.26918284743319,61.26918284743319,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,919604,764051,55.21583926535272,66.45722164066981,66.45722164066981,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1019372,793420,39.97400729448368,51.35789841923876,51.35789841923876,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,514671,404386,37.73051349998763,48.02045845690043,48.02045845690043,% At Least 1 Dose
85+,85+,Age,Age,94906,83060,46.41831248812438,53.03848260291274,53.03848260291274,% At Least 1 Dose
75-84,75-84,Age,Age,255995,228163,59.62324387295329,66.89626414123533,66.89626414123533,% At Least 1 Dose
65-74,65-74,Age,Age,528817,467965,65.10409783039661,73.56993301288952,73.56993301288952,% At Least 1 Dose
55-64,55-64,Age,Age,675762,556534,55.713324317413836,67.64896208925998,67.64896208925998,% At Least 1 Dose
45-54,45-54,Age,Age,616049,481571,46.84146380607867,59.92187431608414,59.92187431608414,% At Least 1 Dose
35-44,35-44,Age,Age,619383,473741,41.669320066918466,54.479701927863864,54.479701927863864,% At Least 1 Dose
25-34,25-34,Age,Age,705591,528402,35.613827332902424,47.55620917719834,47.55620917719834,% At Least 1 Dose
18-24,18-24,Age,Age,274510,173330,24.597300465481737,38.955777711760184,38.955777711760184,% At Least 1 Dose
Male,Male,Sex,Sex,1720308,1347767,43.35878618438047,55.34374023349674,55.34374023349674,% At Least 1 Dose
Female,Female,Sex,Sex,2007427,1609726,45.67519754829316,56.95977128329759,56.95977128329759,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,720181,548220,53.87159625665804,70.76958167107409,70.76958167107409,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,456320,354366,24.3911736443351,31.408714034029767,31.408714034029767,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,723808,536015,29.38694229792213,39.68266546789628,39.68266546789628,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9672,7251,48.27262810363263,64.39013363926834,64.39013363926834,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1110294,943977,42.39511192666171,49.86460305865603,49.86460305865603,% At Least 1 Dose
