Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,21.609834570074852,36.53313757193369,36.53313757193369,% At Least 1 Dose
Queens,Queens,Borough,Borough,18.20082558080039,33.503169330550406,33.503169330550406,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,24.299851649922388,40.49096023849298,40.49096023849298,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,15.317306840888941,28.615559029353655,28.615559029353655,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,17.150343676520027,28.160496142363407,28.160496142363407,% At Least 1 Dose
85+,85+,Age,Age,29.98077546412724,41.8910460606467,41.8910460606467,% At Least 1 Dose
75-84,75-84,Age,Age,38.93464748606448,54.48598081409454,54.48598081409454,% At Least 1 Dose
65-74,65-74,Age,Age,39.77211861518229,58.512788764529446,58.512788764529446,% At Least 1 Dose
55-64,55-64,Age,Age,21.020609415005296,43.545036310876434,43.545036310876434,% At Least 1 Dose
45-54,45-54,Age,Age,16.26973203629654,32.237544098894354,32.237544098894354,% At Least 1 Dose
35-44,35-44,Age,Age,13.999574283186119,26.197768329131872,26.197768329131872,% At Least 1 Dose
25-34,25-34,Age,Age,11.457243012228222,21.470055584050403,21.470055584050403,% At Least 1 Dose
18-24,18-24,Age,Age,5.805547580008411,12.634835571705425,12.634835571705425,% At Least 1 Dose
Male,Male,Sex,Sex,17.10323696120447,30.761717708415787,30.761717708415787,% At Least 1 Dose
Female,Female,Sex,Sex,19.584687410764598,33.82029602413661,33.82029602413661,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,9.953985336485907,17.798317172921383,17.798317172921383,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,9.944624826689175,19.32959757838569,19.32959757838569,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,17.597576618267112,35.6470055710729,35.6470055710729,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,17.60875759676021,35.74344784007772,35.74344784007772,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,19.335022358945846,31.38980925807896,31.38980925807896,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,39.76172944532049,73.18140110995436,73.18140110995436,% At Least 1 Dose
