Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,207960,178067,47.717642543985306,55.72824242249931,55.72824242249931,% At Least 1 Dose
Queens,Queens,Borough,Borough,1151841,940015,51.6730465486046,63.31721686312588,63.31721686312588,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,940227,811910,58.6744759943152,67.9475884527928,67.9475884527928,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1051989,860933,43.37544052590269,53.00120485961608,53.00120485961608,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,535427,434610,40.55050984017653,49.957059966858104,49.957059966858104,% At Least 1 Dose
85+,85+,Age,Age,96353,85141,47.58128513786898,53.84714258570007,53.84714258570007,% At Least 1 Dose
75-84,75-84,Age,Age,259599,233799,61.096035703653115,67.83805650423075,67.83805650423075,% At Least 1 Dose
65-74,65-74,Age,Age,537019,482093,67.06960955487995,74.71100939767238,74.71100939767238,% At Least 1 Dose
55-64,55-64,Age,Age,693598,591145,59.17815102692307,69.43448256514355,69.43448256514355,% At Least 1 Dose
45-54,45-54,Age,Age,637146,522722,50.844140622340326,61.97393800330128,61.97393800330128,% At Least 1 Dose
35-44,35-44,Age,Age,642748,518095,45.57061005923093,56.53484105106315,56.53484105106315,% At Least 1 Dose
25-34,25-34,Age,Age,730534,585100,39.43522237327113,49.23734531060545,49.23734531060545,% At Least 1 Dose
18-24,18-24,Age,Age,290447,207440,29.437858469737105,41.21740107481553,41.21740107481553,% At Least 1 Dose
Male,Male,Sex,Sex,1778198,1462839,47.0607482028963,57.20610971740143,57.20610971740143,% At Least 1 Dose
Female,Female,Sex,Sex,2065430,1724714,48.937926494513285,58.60557838549612,58.60557838549612,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,740037,602286,59.18446649709522,72.7207589635337,72.7207589635337,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,473067,384589,26.471436539344044,32.56141769358425,32.56141769358425,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,763989,596487,32.70231066380732,41.88558279012198,41.88558279012198,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9928,7786,51.83432387462194,66.0944217091249,66.0944217091249,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1127764,990819,44.49884097182774,50.649201206024856,50.649201206024856,% At Least 1 Dose
