Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,194719,147954,31.073438021770773,40.895067238203644,40.895067238203644,% At Least 1 Dose
Queens,Queens,Borough,Borough,1046974,713314,31.4466557397398,46.15615415715706,46.15615415715706,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,885653,649290,40.29302914452338,54.961022256517985,54.961022256517985,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,963758,651084,25.43393245729896,37.64822338927317,37.64822338927317,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,481648,353431,24.871631136252795,33.894512347569645,33.894512347569645,% At Least 1 Dose
85+,85+,Age,Age,91799,78624,43.939241524997485,51.30212699370732,51.30212699370732,% At Least 1 Dose
75-84,75-84,Age,Age,248966,216009,56.447177174882725,65.05945545103145,65.05945545103145,% At Least 1 Dose
65-74,65-74,Age,Age,512251,438914,61.06247261041039,71.26524252394623,71.26524252394623,% At Least 1 Dose
55-64,55-64,Age,Age,640632,491698,49.22274315715437,64.13217949687434,64.13217949687434,% At Least 1 Dose
45-54,45-54,Age,Age,573797,399446,38.85332661535454,55.812105395749576,55.812105395749576,% At Least 1 Dose
35-44,35-44,Age,Age,572904,373990,32.89541967409795,50.39150114433383,50.39150114433383,% At Least 1 Dose
25-34,25-34,Age,Age,653594,397098,26.76405389502857,44.05165737794526,44.05165737794526,% At Least 1 Dose
18-24,18-24,Age,Age,243270,113386,16.090633534755163,34.522502072565295,34.522502072565295,% At Least 1 Dose
<18,<18,Age,Age,35539,5908,0.3466887577082974,2.085472538963301,2.085472538963301,% At Least 1 Dose
Male,Male,Sex,Sex,1621917,1120629,28.167536874821458,40.76764647836153,40.76764647836153,% At Least 1 Dose
Female,Female,Sex,Sex,1909096,1364963,31.31816031148789,43.8029269496831,43.8029269496831,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,677023,433717,35.15744438013621,54.880021918838686,54.880021918838686,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,424753,298618,16.355030648772516,23.263327505904105,23.263327505904105,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,657673,435772,17.980433984296024,27.136314310588837,27.136314310588837,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9353,6058,32.11407972858355,49.5812128922816,49.5812128922816,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1071253,811291,30.249748692754896,39.942676593675706,39.942676593675706,% At Least 1 Dose
