Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,192562,147543,39.537949950677124,51.601951420279434,51.601951420279434,% At Least 1 Dose
Queens,Queens,Borough,Borough,1035297,711925,39.13483685272611,56.910740863316754,56.910740863316754,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,876957,647123,46.76577813904156,63.37524164568323,63.37524164568323,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,955079,649814,32.73886412752088,48.118694906617144,48.118694906617144,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,477318,352760,32.913641773591664,44.53530350404588,44.53530350404588,% At Least 1 Dose
85+,85+,Age,Age,91799,78624,43.939241524997485,51.30212699370732,51.30212699370732,% At Least 1 Dose
75-84,75-84,Age,Age,248966,216009,56.447177174882725,65.05945545103145,65.05945545103145,% At Least 1 Dose
65-74,65-74,Age,Age,512251,438914,61.06247261041039,71.26524252394623,71.26524252394623,% At Least 1 Dose
55-64,55-64,Age,Age,640632,491698,49.22274315715437,64.13217949687434,64.13217949687434,% At Least 1 Dose
45-54,45-54,Age,Age,573797,399446,38.85332661535454,55.812105395749576,55.812105395749576,% At Least 1 Dose
35-44,35-44,Age,Age,572904,373990,32.89541967409795,50.39150114433383,50.39150114433383,% At Least 1 Dose
25-34,25-34,Age,Age,653594,397098,26.76405389502857,44.05165737794526,44.05165737794526,% At Least 1 Dose
18-24,18-24,Age,Age,243270,113386,16.090633534755163,34.522502072565295,34.522502072565295,% At Least 1 Dose
Male,Male,Sex,Sex,1604965,1117782,35.95997730969015,51.63305991941797,51.63305991941797,% At Least 1 Dose
Female,Female,Sex,Sex,1890655,1361929,38.64407739065491,53.64642219897561,53.64642219897561,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,670877,433095,42.55867896241894,65.92465594447114,65.92465594447114,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,422420,298300,20.532125254976947,29.075361549471545,29.075361549471545,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,653246,435201,23.859829808863577,35.81411435939002,35.81411435939002,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9155,6025,40.110686019085165,60.94827062319082,60.94827062319082,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1065863,809997,36.377913312782205,47.86915484539077,47.86915484539077,% At Least 1 Dose
