Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,209637,180625,48.403124579553456,56.17763779921854,56.17763779921854,% At Least 1 Dose
Queens,Queens,Borough,Borough,1164521,959388,52.737989055677495,64.01424215552686,64.01424215552686,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,947291,822785,59.46038197704503,68.45808407228738,68.45808407228738,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1063276,881652,44.41930311713357,53.56986536771121,53.56986536771121,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,543753,444586,41.481302703124,50.733902526691764,50.733902526691764,% At Least 1 Dose
85+,85+,Age,Age,96818,85943,48.02948507304206,54.107009131654536,54.107009131654536,% At Least 1 Dose
75-84,75-84,Age,Age,260773,235733,61.60142594506076,68.1448445825206,68.1448445825206,% At Least 1 Dose
65-74,65-74,Age,Age,540037,486582,67.69412697639791,75.13087876237303,75.13087876237303,% At Least 1 Dose
55-64,55-64,Age,Age,699745,600717,60.13638168374958,70.04984443805544,70.04984443805544,% At Least 1 Dose
45-54,45-54,Age,Age,644509,533924,51.93373712536001,62.69012252854087,62.69012252854087,% At Least 1 Dose
35-44,35-44,Age,Age,651023,530215,46.63666125431654,57.26269366156921,57.26269366156921,% At Least 1 Dose
25-34,25-34,Age,Age,739376,599851,40.42942672334483,49.833288288257926,49.833288288257926,% At Least 1 Dose
18-24,18-24,Age,Age,296197,216071,30.662685679784836,42.03338490725376,42.03338490725376,% At Least 1 Dose
Male,Male,Sex,Sex,1798471,1494293,48.07264956317854,57.85830900133993,57.85830900133993,% At Least 1 Dose
Female,Female,Sex,Sex,2086123,1756113,49.82885794981615,59.19273226315409,59.19273226315409,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,746924,615396,60.47273877268674,73.3975195403452,73.3975195403452,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,478558,393271,27.06902256503533,32.93936573171726,32.93936573171726,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,778194,614121,33.66909207940494,42.664369792989405,42.664369792989405,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10048,7948,52.912818668828045,66.89330674187018,66.89330674187018,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1133294,1003060,45.048598609031046,50.897559978489056,50.897559978489056,% At Least 1 Dose
