Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,196189,153000,41.00029376150411,52.573899560625684,52.573899560625684,% At Least 1 Dose
Queens,Queens,Borough,Borough,1066212,759505,41.750330812697605,58.6101522919111,58.6101522919111,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,891911,682290,49.30719935234363,64.45592560575145,64.45592560575145,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,977589,696820,35.10711573056151,49.25279148119156,49.25279148119156,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,491085,368126,34.34733896004424,45.81980885129908,45.81980885129908,% At Least 1 Dose
85+,85+,Age,Age,93025,80124,44.77752070549576,51.9872805105679,51.9872805105679,% At Least 1 Dose
75-84,75-84,Age,Age,251501,220116,57.520412811625846,65.72189819248355,65.72189819248355,% At Least 1 Dose
65-74,65-74,Age,Age,518218,448604,62.41056212132796,72.09538185435336,72.09538185435336,% At Least 1 Dose
55-64,55-64,Age,Age,653660,512796,51.33481486606847,65.43638227551368,65.43638227551368,% At Least 1 Dose
45-54,45-54,Age,Age,589511,426142,41.449994018015985,57.34057526259937,57.34057526259937,% At Least 1 Dose
35-44,35-44,Age,Age,590048,408120,35.897426876100575,51.89945342886747,51.89945342886747,% At Least 1 Dose
25-34,25-34,Age,Age,672554,436650,29.429823704134062,45.32954460439752,45.32954460439752,% At Least 1 Dose
18-24,18-24,Age,Age,254469,127189,18.049420463302123,36.11175475769153,36.11175475769153,% At Least 1 Dose
Male,Male,Sex,Sex,1647598,1189255,38.25932320920856,53.00459901437926,53.00459901437926,% At Least 1 Dose
Female,Female,Sex,Sex,1933174,1438774,40.82451713977903,54.8528782819089,54.8528782819089,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,689403,466808,45.87153351825549,67.74513894810262,67.74513894810262,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,435367,316368,21.77575394792674,29.966509473293822,29.966509473293822,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,677208,465201,25.504575327063,37.12782742962651,37.12782742962651,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9357,6312,42.02135272240093,62.29306042831202,62.29306042831202,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1081973,852864,38.30312045549883,48.59267380097816,48.59267380097816,% At Least 1 Dose
