Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,198508,153626,32.26467678827579,41.69083657640667,41.69083657640667,% At Least 1 Dose
Queens,Queens,Borough,Borough,1078974,762073,33.596210476102705,47.56688349048247,47.56688349048247,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,901088,685553,42.543404348003875,55.9188729932392,55.9188729932392,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,986927,699039,27.307245625783782,38.5532967455577,38.5532967455577,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,495971,369173,25.979426483426337,34.902449887753015,34.902449887753015,% At Least 1 Dose
85+,85+,Age,Age,93025,80124,44.77752070549576,51.9872805105679,51.9872805105679,% At Least 1 Dose
75-84,75-84,Age,Age,251501,220116,57.520412811625846,65.72189819248355,65.72189819248355,% At Least 1 Dose
65-74,65-74,Age,Age,518218,448604,62.41056212132796,72.09538185435336,72.09538185435336,% At Least 1 Dose
55-64,55-64,Age,Age,653660,512796,51.33481486606847,65.43638227551368,65.43638227551368,% At Least 1 Dose
45-54,45-54,Age,Age,589511,426142,41.449994018015985,57.34057526259937,57.34057526259937,% At Least 1 Dose
35-44,35-44,Age,Age,590048,408120,35.897426876100575,51.89945342886747,51.89945342886747,% At Least 1 Dose
25-34,25-34,Age,Age,672554,436650,29.429823704134062,45.32954460439752,45.32954460439752,% At Least 1 Dose
18-24,18-24,Age,Age,254469,127189,18.049420463302123,36.11175475769153,36.11175475769153,% At Least 1 Dose
<18,<18,Age,Age,38482,9723,0.570557683005717,2.2581714241927386,2.2581714241927386,% At Least 1 Dose
Male,Male,Sex,Sex,1665948,1193893,30.009061966173654,41.87438636831195,41.87438636831195,% At Least 1 Dose
Female,Female,Sex,Sex,1953142,1443813,33.12732066276541,44.81353287019508,44.81353287019508,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,696067,468053,37.94074780203656,56.42374367928458,56.42374367928458,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,437980,316916,17.357195122485553,23.987758017096713,23.987758017096713,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,682154,466201,19.235968129922966,28.146427407275983,28.146427407275983,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9572,6368,33.75742154368109,50.74215436810857,50.74215436810857,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1087684,854747,31.870046562683633,40.55532189698938,40.55532189698938,% At Least 1 Dose
