Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,190697,138442,29.075718849169263,40.05036302119321,40.05036302119321,% At Least 1 Dose
Queens,Queens,Borough,Borough,1006183,664523,29.29569027404356,44.357871024792175,44.357871024792175,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,861349,597896,37.10366855086934,53.45278744568077,53.45278744568077,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,933056,603665,23.581557582178913,36.448881070457176,36.448881070457176,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,463968,333203,23.44814718995459,32.65033614772031,32.65033614772031,% At Least 1 Dose
85+,85+,Age,Age,89768,75623,42.26212431121394,50.16709698331265,50.16709698331265,% At Least 1 Dose
75-84,75-84,Age,Age,245027,208960,54.60514211196521,64.03012134508279,64.03012134508279,% At Least 1 Dose
65-74,65-74,Age,Age,503971,423763,58.95463936170944,70.11331464464823,70.11331464464823,% At Least 1 Dose
55-64,55-64,Age,Age,623746,460441,46.09367758669613,62.44176131141963,62.44176131141963,% At Least 1 Dose
45-54,45-54,Age,Age,554308,367353,35.73170363986705,53.91644870521658,53.91644870521658,% At Least 1 Dose
35-44,35-44,Age,Age,551014,339644,29.874413539905674,48.466100099744395,48.466100099744395,% At Least 1 Dose
25-34,25-34,Age,Age,627481,357618,24.10313682222607,42.291664279614665,42.291664279614665,% At Least 1 Dose
18-24,18-24,Age,Age,228263,100381,14.245090971127459,32.39285522501736,32.39285522501736,% At Least 1 Dose
<18,<18,Age,Age,31675,3946,0.2315561675553388,1.8587282329739878,1.8587282329739878,% At Least 1 Dose
Male,Male,Sex,Sex,1564764,1037773,26.08491235296792,39.331078947977545,39.331078947977545,% At Least 1 Dose
Female,Female,Sex,Sex,1849591,1271637,29.17685785183886,42.437624645272585,42.437624645272585,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,651489,397900,32.25408992235997,52.8102156054998,52.8102156054998,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,408442,277409,15.193433407381118,22.369989177631435,22.369989177631435,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,629985,402311,16.59979617014429,25.99387685210782,25.99387685210782,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,8995,5446,28.869804919423242,47.683418150975406,47.683418150975406,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1042382,752539,28.05912506301324,38.86619417921712,38.86619417921712,% At Least 1 Dose
