Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,205927,174431,46.743282621653094,55.18344766944612,55.18344766944612,% At Least 1 Dose
Queens,Queens,Borough,Borough,1136600,907265,49.87276434622826,62.479412251021515,62.479412251021515,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,932431,794499,57.416231482562644,67.38419323059861,67.38419323059861,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1040290,838156,42.22789198396216,52.411787008618916,52.411787008618916,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,528207,424293,39.58790058125221,49.28341076171769,49.28341076171769,% At Least 1 Dose
85+,85+,Age,Age,95937,84449,47.19455900926578,53.614659826308554,53.614659826308554,% At Least 1 Dose
75-84,75-84,Age,Age,258400,231837,60.5833285404464,67.52473546004887,67.52473546004887,% At Least 1 Dose
65-74,65-74,Age,Age,534133,477033,66.36565362864229,74.30950410061273,74.30950410061273,% At Least 1 Dose
55-64,55-64,Age,Age,687246,578338,57.89607204426771,68.79859861903385,68.79859861903385,% At Least 1 Dose
45-54,45-54,Age,Age,629024,507047,49.31946420876832,61.18392704119399,61.18392704119399,% At Least 1 Dose
35-44,35-44,Age,Age,633623,501105,44.07620330968435,55.732224124070065,55.732224124070065,% At Least 1 Dose
25-34,25-34,Age,Age,720778,563940,38.009057093116596,48.57979954155122,48.57979954155122,% At Least 1 Dose
18-24,18-24,Age,Age,284314,194895,27.657594612704457,40.34706562362531,40.34706562362531,% At Least 1 Dose
Male,Male,Sex,Sex,1755748,1419124,45.65440026734795,56.483874531468445,56.483874531468445,% At Least 1 Dose
Female,Female,Sex,Sex,2044114,1682601,47.74299046543053,58.00074718382615,58.00074718382615,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,732130,580796,57.07272193550392,71.9437666764931,71.9437666764931,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,467254,374070,25.747408964563277,32.161306248370764,32.161306248370764,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,748954,573842,31.460801921819787,41.061291161251035,41.061291161251035,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9824,7592,50.542793071683754,65.40205468074568,65.40205468074568,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1121921,974607,43.77074107685674,50.386785237216834,50.386785237216834,% At Least 1 Dose
