Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,193499,145061,30.465847444990263,40.63884169251674,40.63884169251674,% At Least 1 Dose
Queens,Queens,Borough,Borough,1035038,698000,30.77153358316026,45.62995211582669,45.62995211582669,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,879428,634445,39.371792073799284,54.57471705171789,54.57471705171789,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,955249,636454,24.862426427585,37.315827982107336,37.315827982107336,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,476083,346729,24.399998280404933,33.50289240683652,33.50289240683652,% At Least 1 Dose
85+,85+,Age,Age,91175,77840,43.50110093999039,50.95340285462003,50.95340285462003,% At Least 1 Dose
75-84,75-84,Age,Age,247723,214231,55.98255264064137,64.73463638687959,64.73463638687959,% At Least 1 Dose
65-74,65-74,Age,Age,509708,434836,60.49513421768368,70.9114559784082,70.9114559784082,% At Least 1 Dose
55-64,55-64,Age,Age,635551,483359,48.38794526253712,63.62353240459107,63.62353240459107,% At Least 1 Dose
45-54,45-54,Age,Age,568104,389842,37.919164428691346,55.258358485225465,55.258358485225465,% At Least 1 Dose
35-44,35-44,Age,Age,566740,362817,31.912664723380825,49.84932791277379,49.84932791277379,% At Least 1 Dose
25-34,25-34,Age,Age,646557,383925,25.87620534892859,43.57736980344396,43.57736980344396,% At Least 1 Dose
18-24,18-24,Age,Age,239165,108872,15.450050748733213,33.93996057132026,33.93996057132026,% At Least 1 Dose
<18,<18,Age,Age,34574,4967,0.2914697121762209,2.0288451437045825,2.0288451437045825,% At Least 1 Dose
Male,Male,Sex,Sex,1605506,1094922,27.521379341470958,40.35514827632258,40.35514827632258,% At Least 1 Dose
Female,Female,Sex,Sex,1892403,1336794,30.671841504447485,43.419917263647896,43.419917263647896,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,670248,422796,34.272179449143266,54.330835039663036,54.330835039663036,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,419629,292122,15.999250759099334,22.98269078258431,22.98269078258431,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,649275,425217,17.54492302740975,26.789803555881974,26.789803555881974,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9266,5937,31.472646310432573,49.120016963528414,49.120016963528414,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1063495,794329,29.617304554552316,39.65341226021411,39.65341226021411,% At Least 1 Dose
