Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,211990,183121,49.071992116996036,56.8081848006618,56.8081848006618,% At Least 1 Dose
Queens,Queens,Borough,Borough,1179136,979848,53.86268444073459,64.8176352666026,64.8176352666026,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,956525,835601,60.38655862758898,69.1253995522439,69.1253995522439,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1077382,899330,45.309954349711376,54.28055245260444,54.28055245260444,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,552823,455705,42.518741139683044,51.58016267774765,51.58016267774765,% At Least 1 Dose
85+,85+,Age,Age,97393,87016,48.62913411349182,54.428349484178874,54.428349484178874,% At Least 1 Dose
75-84,75-84,Age,Age,262199,237942,62.17867881128076,68.51748495700214,68.51748495700214,% At Least 1 Dose
65-74,65-74,Age,Age,543523,491251,68.34368630833538,75.61585709416443,75.61585709416443,% At Least 1 Dose
55-64,55-64,Age,Age,706628,610815,61.14726897717144,70.73888555913118,70.73888555913118,% At Least 1 Dose
45-54,45-54,Age,Age,652814,545167,53.02732161772301,63.497933540643935,63.497933540643935,% At Least 1 Dose
35-44,35-44,Age,Age,660994,542410,47.70930930085689,58.13972307297173,58.13972307297173,% At Least 1 Dose
25-34,25-34,Age,Age,750407,613952,41.37982164846104,50.57676792934416,50.57676792934416,% At Least 1 Dose
18-24,18-24,Age,Age,303898,225052,31.9371814709375,43.126235601794086,43.126235601794086,% At Least 1 Dose
Male,Male,Sex,Sex,1822553,1526144,49.09732274389798,58.63304698564453,58.63304698564453,% At Least 1 Dose
Female,Female,Sex,Sex,2111354,1788433,50.745922335159264,59.90864969838281,59.90864969838281,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,754917,627463,61.658519211249896,74.18296273628746,74.18296273628746,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,485335,401904,27.6632358983448,33.405829737258586,33.405829737258586,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,794105,632031,34.651005153769994,43.53668799099177,43.53668799099177,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,10215,8130,54.1244609684917,68.00508841244066,68.00508841244066,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1140712,1015306,45.59858080208649,51.23071104072042,51.23071104072042,% At Least 1 Dose
