Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,SUM(At least 1 dose )-alias,SUM(N Fully Vaccinated Cumulative)-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,206952,176140,47.20125322321133,55.45812284007058,55.45812284007058,% At Least 1 Dose
Queens,Queens,Borough,Borough,1142761,919132,50.52509866365116,62.81808518686398,62.81808518686398,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,935601,801570,57.927232972574835,67.6132803078633,67.6132803078633,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,1045486,848478,42.74793395831832,52.67357136230566,52.67357136230566,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,531340,428923,40.01989446211095,49.575729731205904,49.575729731205904,% At Least 1 Dose
85+,85+,Age,Age,96159,84744,47.35942058143044,53.7387251450223,53.7387251450223,% At Least 1 Dose
75-84,75-84,Age,Age,258968,232692,60.80675597395392,67.67316444511586,67.67316444511586,% At Least 1 Dose
65-74,65-74,Age,Age,535492,479234,66.67186054438321,74.49857052428011,74.49857052428011,% At Least 1 Dose
55-64,55-64,Age,Age,690015,583616,58.42444034835571,69.07579676871549,69.07579676871549,% At Least 1 Dose
45-54,45-54,Age,Age,632458,513523,49.94937198894646,61.51794546570475,61.51794546570475,% At Least 1 Dose
35-44,35-44,Age,Age,637450,508026,44.68496076192754,56.06883946430048,56.06883946430048,% At Least 1 Dose
25-34,25-34,Age,Age,724854,572458,38.583162757405645,48.85451833559233,48.85451833559233,% At Least 1 Dose
18-24,18-24,Age,Age,286744,199950,28.374950834091468,40.6919074867253,40.6919074867253,% At Least 1 Dose
Male,Male,Sex,Sex,1765226,1436974,46.22864962453743,56.78878968034474,56.78878968034474,% At Least 1 Dose
Female,Female,Sex,Sex,2053247,1700080,48.23894864585789,58.25989164642945,58.25989164642945,% At Least 1 Dose
Asian & NH/PI,Asian & NH/PI,Race/ethnicity,Race/ ethnicity,735171,589149,57.8935410291741,72.24259474591139,72.24259474591139,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,469691,378375,26.04372408096514,32.32904607152322,32.32904607152322,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,755430,583648,31.99841440686857,41.41633689377968,41.41633689377968,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,9878,7699,51.25513222588162,65.76155294548104,65.76155294548104,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,1124617,981206,44.067109890507965,50.50786575268944,50.50786575268944,% At Least 1 Dose
