Subgroup (group)-value,Subgroup (group)-alias,Group-value,Group-alias,AGG(per fully vaccinated )-alias,AGG(perc at least 1 dose)-value,AGG(perc at least 1 dose)-alias,Measure Names-alias
Staten Island,Staten Island,Borough,Borough,25.577483912773086,39.40155028058167,39.40155028058167,% At Least 1 Dose
Queens,Queens,Borough,Borough,22.920148562126013,37.49100054799749,37.49100054799749,% At Least 1 Dose
Manhattan,Manhattan,Borough,Borough,28.814240149156145,45.24643217298069,45.24643217298069,% At Least 1 Dose
Brooklyn,Brooklyn,Borough,Borough,19.008687908233135,32.317772205251096,32.317772205251096,% At Least 1 Dose
Bronx,Bronx,Borough,Borough,20.197346736391278,31.47994458713909,31.47994458713909,% At Least 1 Dose
85+,85+,Age,Age,33.82232952195733,43.70619991281897,43.70619991281897,% At Least 1 Dose
75-84,75-84,Age,Age,43.940728589811215,56.7354116300392,56.7354116300392,% At Least 1 Dose
65-74,65-74,Age,Age,45.98292976439729,61.31678712289309,61.31678712289309,% At Least 1 Dose
55-64,55-64,Age,Age,27.082028976245205,48.34449853196225,48.34449853196225,% At Least 1 Dose
45-54,45-54,Age,Age,20.77509004588133,37.3333190673552,37.3333190673552,% At Least 1 Dose
35-44,35-44,Age,Age,17.582104413205666,31.302411984807893,31.302411984807893,% At Least 1 Dose
25-34,25-34,Age,Age,14.12705676825286,25.300212509410603,25.300212509410603,% At Least 1 Dose
18-24,18-24,Age,Age,7.390259137719337,14.18250855893524,14.18250855893524,% At Least 1 Dose
Male,Male,Sex,Sex,21.039660005781755,34.76238590516715,34.76238590516715,% At Least 1 Dose
Female,Female,Sex,Sex,23.58960859483806,37.586814517441105,37.586814517441105,% At Least 1 Dose
Black,Black,Race/ethnicity,Race/ ethnicity,12.338134698141594,20.039918658603025,20.039918658603025,% At Least 1 Dose
Latino,Latino,Race/ethnicity,Race/ ethnicity,12.793598188463609,22.414920871125382,22.414920871125382,% At Least 1 Dose
Asian,Asian,Race/ethnicity,Race/ ethnicity,23.052756309529443,41.2101168025067,41.2101168025067,% At Least 1 Dose
AI/AN,AI/AN,Race/ethnicity,Race/ ethnicity,21.483350005574746,40.576702288186574,40.576702288186574,% At Least 1 Dose
White,White,Race/ethnicity,Race/ ethnicity,23.03471475642432,35.229175395587035,35.229175395587035,% At Least 1 Dose
NH/PI,NH/PI,Race/ethnicity,Race/ ethnicity,47.7388489975904,82.84312976021914,82.84312976021914,% At Least 1 Dose
