Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,161825,0.1083115248950852,0.1083115248950852
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,2517,0.0016846600226228,0.0016846600226228
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,4254,0.0028472561526568,0.0028472561526568
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,188247,0.1259961046001861,0.1259961046001861
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,295764,0.1979585963174416,0.1979585963174416
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,310567,0.2078664319610192,0.2078664319610192
18 to 64 years,18 to 64 years,White,White,NYC,NYC,530896,0.3553354260509882,0.3553354260509882
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,37125,0.1080905602366492,0.1080905602366492
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,567,0.0016508376472506,0.0016508376472506
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,828,0.0024107470404295,0.0024107470404295
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,27663,0.0805416610862337,0.0805416610862337
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,40466,0.1178179827753871,0.1178179827753871
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,47043,0.1369671171774461,0.1369671171774461
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,189770,0.5525210940366038,0.5525210940366038
65+ years,65+ years,Other,Other,NYC,NYC,70936,0.1090900143329048,0.1090900143329048
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,827,0.0012718146195629,0.0012718146195629
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,1841,0.0028312100539483,0.0028312100539483
65+ years,65+ years,Black,Black,NYC,NYC,102902,0.1582494171490438,0.1582494171490438
65+ years,65+ years,Latino,Latino,NYC,NYC,113082,0.1739048861056944,0.1739048861056944
65+ years,65+ years,Asian,Asian,NYC,NYC,107141,0.1647684282401285,0.1647684282401285
65+ years,65+ years,White,White,NYC,NYC,253523,0.3898842294987175,0.3898842294987175
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16298,0.1190251882362392,0.1190251882362392
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,133,0.0009713062974242,0.0009713062974242
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,334,0.0024392203258623,0.0024392203258623
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,7849,0.0573216776577642,0.0573216776577642
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,8793,0.0642157614530158,0.0642157614530158
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,11994,0.0875928400850076,0.0875928400850076
65+ years,65+ years,White,White,Non- NYC,Non- NYC,91528,0.6684340059446868,0.6684340059446868
%all%,All,Other,Other,NYC,NYC,232761,0.1085475968627846,0.1085475968627846
%all%,All,NH/PI,NH/PI,NYC,NYC,3344,0.0015594672814997,0.0015594672814997
%all%,All,AI/AN,AI/AN,NYC,NYC,6095,0.0028423902753411,0.0028423902753411
%all%,All,Black,Black,NYC,NYC,291149,0.1357767163700228,0.1357767163700228
%all%,All,Latino,Latino,NYC,NYC,408846,0.1906644617739314,0.1906644617739314
%all%,All,Asian,Asian,NYC,NYC,417708,0.1947972366090541,0.1947972366090541
%all%,All,White,White,NYC,NYC,784419,0.3658121308273664,0.3658121308273664
%all%,All,Other,Other,Non- NYC,Non- NYC,53423,0.1112073290298944,0.1112073290298944
%all%,All,NH/PI,NH/PI,Non- NYC,Non- NYC,700,0.0014571463661892,0.0014571463661892
%all%,All,AI/AN,AI/AN,Non- NYC,Non- NYC,1162,0.0024188629678741,0.0024188629678741
%all%,All,Black,Black,Non- NYC,Non- NYC,35512,0.0739231167944445,0.0739231167944445
%all%,All,Latino,Latino,Non- NYC,Non- NYC,49259,0.1025393897887346,0.1025393897887346
%all%,All,Asian,Asian,Non- NYC,Non- NYC,59037,0.1228936428867319,0.1228936428867319
%all%,All,White,White,Non- NYC,Non- NYC,281298,0.5855605121661314,0.5855605121661314
